# theta1	omega1	alpha1	theta2	omega2	alpha2
1.000000000000000000e+00	-8.802453084820990981e+00	0.000000000000000000e+00	5.000000000000000000e-01	1.510467221328189558e+00	2.999999999999999889e-01
9.998284644648505193e-01	-8.802017046181845217e+00	-5.495274617643481491e-02	5.019023121298253898e-01	1.507569211678813303e+00	3.094211936798192952e-01
9.993138764561725340e-01	-8.800399884603223200e+00	-1.098991358772277299e-01	5.038633866650031878e-01	1.505785305737703084e+00	3.188265398260718420e-01
9.984562986941373230e-01	-8.797591318250837844e+00	-1.648317411834503143e-01	5.058831530303318225e-01	1.505432923575312998e+00	3.282252271472016480e-01
9.972558401052267207e-01	-8.793553253322400565e+00	-2.197429945553288078e-01	5.079615966652025749e-01	1.506461194675352999e+00	3.376260642874012730e-01
9.957126582767140688e-01	-8.788247692981883574e+00	-2.746251056145196934e-01	5.100987576219430109e-01	1.508793782618596424e+00	3.470374392331275204e-01
9.938269607574721221e-01	-8.781628738969516235e+00	-3.294700219413189690e-01	5.122947273000718615e-01	1.512340139326909139e+00	3.564672190393315399e-01
9.915990056767476357e-01	-8.773644485313127461e+00	-3.842693868190417694e-01	5.145496436258056860e-01	1.516999420412730615e+00	3.659226751438269809e-01
9.890291041985616038e-01	-8.764233491460487357e+00	-4.390144891607177247e-01	5.168636876002258296e-01	1.522653548617142860e+00	3.754103941832530045e-01
9.861176233430699600e-01	-8.753326893269417042e+00	-4.936962111145020704e-01	5.192370791563720722e-01	1.529171691898454810e+00	3.849361858321894703e-01
9.828649886637857991e-01	-8.740846508655891967e+00	-5.483049748007379209e-01	5.216700714601277822e-01	1.536407037860868741e+00	3.945049913492342797e-01
9.792716862830994629e-01	-8.726709413794509373e+00	-6.028307046176778483e-01	5.241629470634791010e-01	1.544204764079751158e+00	4.041208188502765086e-01
9.753382674459470936e-01	-8.710816648660681949e+00	-6.572627545029153806e-01	5.267160094488448907e-01	1.552383034600381961e+00	4.137866216701371891e-01
9.710653524037421436e-01	-8.693064552845100934e+00	-7.115898394555280060e-01	5.293295757408342794e-01	1.560752426153015904e+00	4.235041815176829871e-01
9.664536332738785651e-01	-8.673341976198230441e+00	-7.658000159131470586e-01	5.320039717652088607e-01	1.569111622341893053e+00	4.332740828334223915e-01
9.615038789913691319e-01	-8.651525102290577252e+00	-8.198805991393083303e-01	5.347395228501544695e-01	1.577238644777679610e+00	4.430955734308303362e-01
9.562169403173254034e-01	-8.627481735498179205e+00	-8.738181071805263267e-01	5.375365449527054196e-01	1.584897985507751628e+00	4.529664777245492324e-01
9.505937546971567897e-01	-8.601069467476690988e+00	-9.275982012254234688e-01	5.403953359550138780e-01	1.591838552198709067e+00	4.628831007953707055e-01
9.446353519876883320e-01	-8.572136592272158850e+00	-9.812056241821207614e-01	5.433161655744257468e-01	1.597794257895685632e+00	4.728401331262602758e-01
