No,TIME,Acc_TX@StRq3,Acc_TY@StRq3,Acc_TZ@StRq3
1,0.0000000e+00,-9.8066500e+03,3.8578397e-08,-1.2700248e-08
2,2.0000000e-05,-1.0146753e+04,1.4283414e+02,-3.7388807e+01
3,4.0000000e-05,-1.1355612e+04,5.3719018e+02,-1.5426508e+02
4,6.0000000e-05,-1.2486731e+04,8.4180894e+02,-2.5841205e+02
5,8.0000000e-05,-1.3589819e+04,1.1114068e+03,-3.6269771e+02
6,1.0000000e-04,-1.4753984e+04,1.3802226e+03,-4.7781278e+02
7,1.2000000e-04,-1.5841699e+04,1.6180658e+03,-5.9238921e+02
8,1.4000000e-04,-1.6793860e+04,1.8151124e+03,-7.0116924e+02
9,1.6000000e-04,-1.7597341e+04,1.9720527e+03,-8.0233427e+02
10,1.8000000e-04,-1.8264865e+04,2.0946247e+03,-8.9601470e+02
11,2.0000000e-04,-1.8822979e+04,2.1908213e+03,-9.8348891e+02
12,2.2000000e-04,-1.9305265e+04,2.2694856e+03,-1.0667292e+03
13,2.4000000e-04,-1.9748600e+04,2.3396370e+03,-1.1481804e+03
14,2.6000000e-04,-2.0190765e+04,2.4099911e+03,-1.2305798e+03
15,2.8000000e-04,-2.0668258e+04,2.4883645e+03,-1.3166787e+03
16,3.0000000e-04,-2.1213677e+04,2.5810992e+03,-1.4092197e+03
17,3.2000000e-04,-2.1852744e+04,2.6920734e+03,-1.5104367e+03
18,3.4000000e-04,-2.2601392e+04,2.8219756e+03,-1.6218070e+03
19,3.6000000e-04,-2.3466701e+04,2.9687450e+03,-1.7441038e+03
20,3.8000000e-04,-2.4442524e+04,3.1305939e+03,-1.8765929e+03
21,4.0000000e-04,-2.5508825e+04,3.2926700e+03,-2.0179202e+03
22,4.2000000e-04,-2.6635423e+04,3.4418756e+03,-2.1654345e+03
23,4.4000000e-04,-2.7787152e+04,3.5653119e+03,-2.3172229e+03
24,4.6000000e-04,-2.8929398e+04,3.6482790e+03,-2.4682077e+03
25,4.8000000e-04,-3.0031581e+04,3.6785905e+03,-2.6146738e+03
26,5.0000000e-04,-3.1069986e+04,3.6464339e+03,-2.7534033e+03
27,5.2000000e-04,-3.2029150e+04,3.5425320e+03,-2.8774464e+03
28,5.4000000e-04,-3.2897028e+04,3.3654450e+03,-2.9882748e+03
29,5.6000000e-04,-3.3670721e+04,3.1144323e+03,-3.0839633e+03
30,5.8000000e-04,-3.4356160e+04,2.7931782e+03,-3.1625790e+03
31,6.0000000e-04,-3.4966125e+04,2.3473903e+03,-3.2277694e+03
32,6.2000000e-04,-3.5514778e+04,1.8769843e+03,-3.2835944e+03
33,6.4000000e-04,-3.6015492e+04,1.3845807e+03,-3.3164530e+03
34,6.6000000e-04,-3.6478144e+04,8.7605911e+02,-3.3257216e+03
35,6.8000000e-04,-3.6910554e+04,3.6215818e+02,-3.3131343e+03
36,7.0000000e-04,-3.7322174e+04,-1.4345849e+02,-3.2807062e+03
37,7.2000000e-04,-3.7720443e+04,-6.3870296e+02,-3.2099945e+03
38,7.4000000e-04,-3.8104736e+04,-1.0947247e+03,-3.1271727e+03
39,7.6000000e-04,-3.8473715e+04,-1.5055627e+03,-3.0351220e+03
40,7.8000000e-04,-3.8825120e+04,-1.8681270e+03,-2.9333150e+03
41,8.0000000e-04,-3.9156733e+04,-2.1799050e+03,-2.8220056e+03
