No,TIME,Pos_TX@StRq1,Pos_TY@StRq1,Pos_TZ@StRq1
1,0.0000000e+00,1.2500000e+01,-4.3000000e+01,1.1500000e+02
2,2.0000000e-05,1.2499998e+01,-4.3000000e+01,1.1500000e+02
3,4.0000000e-05,1.2499992e+01,-4.3000000e+01,1.1500000e+02
4,6.0000000e-05,1.2499981e+01,-4.3000000e+01,1.1500000e+02
5,8.0000000e-05,1.2499965e+01,-4.2999999e+01,1.1500000e+02
6,1.0000000e-04,1.2499942e+01,-4.2999997e+01,1.1500000e+02
7,1.2000000e-04,1.2499914e+01,-4.2999995e+01,1.1500000e+02
8,1.4000000e-04,1.2499879e+01,-4.2999993e+01,1.1500000e+02
9,1.6000000e-04,1.2499836e+01,-4.2999989e+01,1.1500000e+02
10,1.8000000e-04,1.2499787e+01,-4.2999985e+01,1.1499999e+02
11,2.0000000e-04,1.2499729e+01,-4.2999979e+01,1.1499999e+02
12,2.2000000e-04,1.2499665e+01,-4.2999973e+01,1.1499999e+02
13,2.4000000e-04,1.2499592e+01,-4.2999966e+01,1.1499999e+02
14,2.6000000e-04,1.2499511e+01,-4.2999958e+01,1.1499998e+02
15,2.8000000e-04,1.2499422e+01,-4.2999949e+01,1.1499998e+02
16,3.0000000e-04,1.2499324e+01,-4.2999939e+01,1.1499998e+02
17,3.2000000e-04,1.2499218e+01,-4.2999928e+01,1.1499997e+02
18,3.4000000e-04,1.2499102e+01,-4.2999916e+01,1.1499996e+02
19,3.6000000e-04,1.2498978e+01,-4.2999902e+01,1.1499996e+02
20,3.8000000e-04,1.2498843e+01,-4.2999887e+01,1.1499995e+02
21,4.0000000e-04,1.2498698e+01,-4.2999871e+01,1.1499994e+02
22,4.2000000e-04,1.2498543e+01,-4.2999854e+01,1.1499993e+02
23,4.4000000e-04,1.2498376e+01,-4.2999835e+01,1.1499992e+02
24,4.6000000e-04,1.2498198e+01,-4.2999815e+01,1.1499991e+02
25,4.8000000e-04,1.2498008e+01,-4.2999793e+01,1.1499990e+02
26,5.0000000e-04,1.2497806e+01,-4.2999770e+01,1.1499989e+02
27,5.2000000e-04,1.2497590e+01,-4.2999745e+01,1.1499987e+02
28,5.4000000e-04,1.2497362e+01,-4.2999719e+01,1.1499986e+02
29,5.6000000e-04,1.2497120e+01,-4.2999692e+01,1.1499984e+02
30,5.8000000e-04,1.2496864e+01,-4.2999664e+01,1.1499982e+02
31,6.0000000e-04,1.2496594e+01,-4.2999634e+01,1.1499981e+02
32,6.2000000e-04,1.2496310e+01,-4.2999604e+01,1.1499979e+02
33,6.4000000e-04,1.2496012e+01,-4.2999574e+01,1.1499976e+02
34,6.6000000e-04,1.2495699e+01,-4.2999543e+01,1.1499974e+02
