No,TIME,Vel_TX@StRq2,Vel_TY@StRq2,Vel_TZ@StRq2
1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,1.0000000e-04,-1.2576419e+00,8.1893247e-02,-2.6696104e-02
3,2.0000000e-04,-3.0500238e+00,2.8480850e-01,-1.1180187e-01
4,3.0000000e-04,-5.0973704e+00,5.3055992e-01,-2.3978684e-01
5,4.0000000e-04,-7.5005338e+00,8.3599510e-01,-4.2164068e-01
6,5.0000000e-04,-1.0440003e+01,1.1966830e+00,-6.7490287e-01
7,6.0000000e-04,-1.3838653e+01,1.4753059e+00,-9.8567581e-01
8,7.0000000e-04,-1.7507052e+01,1.5370953e+00,-1.3117948e+00
9,8.0000000e-04,-2.1368353e+01,1.3864310e+00,-1.6063722e+00
10,9.0000000e-04,-2.5370137e+01,1.1341375e+00,-1.8481435e+00
11,1.0000000e-03,-2.9459167e+01,8.4990352e-01,-2.0240325e+00
12,1.1000000e-03,-3.3590615e+01,5.9467041e-01,-2.1365729e+00
13,1.2000000e-03,-3.7726209e+01,3.9671960e-01,-2.2027498e+00
14,1.3000000e-03,-4.1846181e+01,2.4184166e-01,-2.2356630e+00
15,1.4000000e-03,-4.5942662e+01,1.2429786e-01,-2.2340419e+00
16,1.5000000e-03,-5.0012378e+01,3.9917417e-02,-2.2096736e+00
17,1.6000000e-03,-5.4053238e+01,-1.8930244e-02,-2.1683902e+00
18,1.7000000e-03,-5.8063616e+01,-5.7943934e-02,-2.1208712e+00
19,1.8000000e-03,-6.2046394e+01,-8.4068551e-02,-2.0646308e+00
20,1.9000000e-03,-6.6007449e+01,-9.9987030e-02,-1.9957041e+00
21,2.0000000e-03,-6.9949649e+01,-1.0498670e-01,-1.9221174e+00
22,2.1000000e-03,-7.3875129e+01,-1.0136724e-01,-1.8463720e+00
23,2.2000000e-03,-7.7783574e+01,-9.0532878e-02,-1.7758348e+00
24,2.3000000e-03,-8.1677362e+01,-7.6074186e-02,-1.7061027e+00
25,2.4000000e-03,-8.5558573e+01,-5.8107156e-02,-1.6374497e+00
26,2.5000000e-03,-8.9430648e+01,-3.7186699e-02,-1.5650430e+00
27,2.6000000e-03,-9.3293082e+01,-1.1499968e-02,-1.4948283e+00
28,2.7000000e-03,-9.7144713e+01,1.7673912e-02,-1.4279191e+00
29,2.8000000e-03,-1.0098221e+02,4.9670835e-02,-1.3699161e+00
30,2.9000000e-03,-1.0480597e+02,7.7028305e-02,-1.3169377e+00
31,3.0000000e-03,-1.0861591e+02,1.0647382e-01,-1.2678663e+00
32,3.1000000e-03,-1.1241125e+02,1.3753279e-01,-1.2226229e+00
33,3.2000000e-03,-1.1619311e+02,1.6938836e-01,-1.1766981e+00
34,3.3000000e-03,-1.1995929e+02,2.0338295e-01,-1.1349028e+00
35,3.4000000e-03,-1.2370734e+02,2.3829563e-01,-1.0978224e+00
36,3.5000000e-03,-1.2743525e+02,2.7326512e-01,-1.0656221e+00
37,3.6000000e-03,-1.3114131e+02,3.0772325e-01,-1.0383335e+00
38,3.7000000e-03,-1.3482396e+02,3.4128861e-01,-1.0159356e+00
39,3.8000000e-03,-1.3847975e+02,3.7393857e-01,-1.0023954e+00
