Pos_TX	Vel_TX	Acc_TX	Pos_TY	Vel_TY	Acc_TY	Pos_TZ	Vel_TZ	Acc_TZ
-9.642277311679285923e-01	6.978069682195689460e-02	1.130392923346118517e-01	-3.003742739245771620e-01	-2.673855982432402946e-04	6.142062843382999071e-03	1.036032530781207273e+00	1.699745578591121409e-01	2.952552250936096856e-01
-1.076715346697700415e+00	-3.076963323461806218e-02	-6.469309353910018823e-02	-2.197732601970124877e-01	8.821990869534299118e-02	1.341476649763003737e-01	8.735624345820159897e-01	2.216617936499881356e-02	3.785089417836001724e-02
-1.112025634204836244e+00	-6.274167802568902941e-02	-1.224586804194103401e-01	-4.812825255759617393e-02	2.769595881649415947e-01	3.590745954207494317e-01	1.052807882625998781e+00	1.850523725584904688e-01	3.186907963719684544e-01
-1.127285739092666050e+00	-7.692054376255787196e-02	-1.478756244578721124e-01	-4.373042754114954134e-01	-1.415218313736550937e-01	-1.017941840931792380e-01	8.360092976200531600e-01	-1.232770510736903510e-02	-2.412975175781694598e-02
-8.152442982090927215e-01	2.002712758070973598e-01	3.309116648632702828e-01	-4.890176274306929916e-01	-1.937032813765820760e-01	-1.488183570275108947e-01	8.145501746120122899e-01	-3.212096586071874760e-02	-5.975036822289080812e-02
-1.023838919365385847e+00	1.370094845991510352e-02	4.341217473721913772e-03	-2.413631033641730483e-01	7.907596868070869423e-02	1.568502242603382335e-01	6.992505975984412148e-01	-1.373740933132089614e-01	-2.435780020965487014e-01
-1.133646270928084565e+00	-8.500886252556615064e-02	-1.682196913456359133e-01	-5.214215758698306225e-01	-2.212584878493293605e-01	-2.110093989412344939e-01	1.074601498509329289e+00	2.035328630331736943e-01	3.463654524725693906e-01
-1.229102728256433297e+00	-1.709888151019427760e-01	-3.173209463581665446e-01	-6.392124218908032951e-01	-3.491582925196820564e-01	-4.099901701937541110e-01	9.782764547281797007e-01	1.154519087267759231e-01	1.945875982250268588e-01
-9.277648686930672906e-01	9.634813072290299152e-02	1.471109584181241603e-01	-4.173892789903593248e-01	-1.122963290331338154e-01	-1.892799187484053569e-01	5.560439105659916725e-01	-2.689625615841140238e-01	-4.690118868714094336e-01
-1.152457018117544640e+00	-1.047455877569468535e-01	-2.006651871473982274e-01	6.538613810576870966e-02	4.060949486958532195e-01	3.776310279351718369e-01	7.269107574624154022e-01	-1.138565765915692390e-01	-1.978318433296411827e-01
