No,TIME,Vel_TX@StRq2,Vel_TY@StRq2,Vel_TZ@StRq2
1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,2.0000000e-05,-1.9877172e-01,1.1473631e-03,-2.9598075e-04
3,4.0000000e-05,-4.1741325e-01,9.2634868e-03,-2.5797572e-03
4,6.0000000e-05,-6.6997566e-01,2.6861213e-02,-8.0083622e-03
5,8.0000000e-05,-9.5280293e-01,5.1785330e-02,-1.6305155e-02
6,1.0000000e-04,-1.2595243e+00,8.2077946e-02,-2.7012521e-02
7,1.2000000e-04,-1.5872354e+00,1.1681770e-01,-4.0005995e-02
8,1.4000000e-04,-1.9326342e+00,1.5509043e-01,-5.5117059e-02
9,1.6000000e-04,-2.2926157e+00,1.9610091e-01,-7.2175219e-02
10,1.8000000e-04,-2.6645882e+00,2.3921914e-01,-9.1032078e-02
11,2.0000000e-04,-3.0466289e+00,2.8399757e-01,-1.1157629e-01
12,2.2000000e-04,-3.4375570e+00,3.3017397e-01,-1.3374289e-01
13,2.4000000e-04,-3.8369622e+00,3.7766827e-01,-1.5752053e-01
14,2.6000000e-04,-4.2451990e+00,4.2657169e-01,-1.8295556e-01
15,2.8000000e-04,-4.6633390e+00,4.7712278e-01,-2.1014945e-01
16,3.0000000e-04,-5.0930666e+00,5.2967219e-01,-2.3925846e-01
17,3.2000000e-04,-5.5365120e+00,5.8462349e-01,-2.7047843e-01
18,3.4000000e-04,-5.9960261e+00,6.4236213e-01,-3.0402717e-01
19,3.6000000e-04,-6.4740130e+00,7.0320486e-01,-3.4013090e-01
20,3.8000000e-04,-6.9726214e+00,7.6743537e-01,-3.7898610e-01
21,4.0000000e-04,-7.4934606e+00,8.3490971e-01,-4.2075595e-01
22,4.2000000e-04,-8.0374347e+00,9.0523948e-01,-4.6553762e-01
23,4.4000000e-04,-8.6046947e+00,9.7778032e-01,-5.1339744e-01
24,4.6000000e-04,-9.1947047e+00,1.0515758e+00,-5.6426850e-01
25,4.8000000e-04,-9.8063576e+00,1.1254511e+00,-6.1802325e-01
26,5.0000000e-04,-1.0438141e+01,1.1980585e+00,-6.7447473e-01
27,5.2000000e-04,-1.1088315e+01,1.2678705e+00,-7.3325970e-01
28,5.4000000e-04,-1.1754934e+01,1.3334090e+00,-7.9412855e-01
29,5.6000000e-04,-1.2436085e+01,1.3931880e+00,-8.5675920e-01
30,5.8000000e-04,-1.3130062e+01,1.4458395e+00,-9.2079085e-01
31,6.0000000e-04,-1.3835483e+01,1.4883299e+00,-9.8599146e-01
32,6.2000000e-04,-1.4551265e+01,1.5211661e+00,-1.0522143e+00
33,6.4000000e-04,-1.5276582e+01,1.5439343e+00,-1.1188640e+00
34,6.6000000e-04,-1.6010771e+01,1.5563709e+00,-1.1854625e+00
35,6.8000000e-04,-1.6753306e+01,1.5584756e+00,-1.2515901e+00
36,7.0000000e-04,-1.7503865e+01,1.5505510e+00,-1.3168699e+00
37,7.2000000e-04,-1.8262257e+01,1.5328251e+00,-1.3803520e+00
38,7.4000000e-04,-1.9028195e+01,1.5063711e+00,-1.4420558e+00
39,7.6000000e-04,-1.9801359e+01,1.4721521e+00,-1.5018256e+00
40,7.8000000e-04,-2.0581376e+01,1.4311647e+00,-1.5594608e+00
41,8.0000000e-04,-2.1367827e+01,1.3844495e+00,-1.6147741e+00
42,8.2000000e-04,-2.2160144e+01,1.3370357e+00,-1.6672735e+00
43,8.4000000e-04,-2.2957673e+01,1.2869564e+00,-1.7179715e+00
44,8.6000000e-04,-2.3759967e+01,1.2337936e+00,-1.7663293e+00
45,8.8000000e-04,-2.4566596e+01,1.1781886e+00,-1.8121390e+00
46,9.0000000e-04,-2.5377150e+01,1.1209604e+00,-1.8553259e+00
47,9.2000000e-04,-2.6191223e+01,1.0628755e+00,-1.8958726e+00
48,9.4000000e-04,-2.7008325e+01,1.0045843e+00,-1.9337869e+00
49,9.6000000e-04,-2.7827950e+01,9.4662902e-01,-1.9690959e+00
50,9.8000000e-04,-2.8649651e+01,8.8947279e-01,-2.0018470e+00
51,1.0000000e-03,-2.9473143e+01,8.3291300e-01,-2.0309470e+00
52,1.0200000e-03,-3.0298091e+01,7.7797241e-01,-2.0572511e+00
53,1.0400000e-03,-3.1124217e+01,7.2501311e-01,-2.0811161e+00
54,1.0600000e-03,-3.1951261e+01,6.7419884e-01,-2.1027273e+00
55,1.0800000e-03,-3.2778969e+01,6.2561803e-01,-2.1222140e+00
56,1.1000000e-03,-3.3607095e+01,5.7931413e-01,-2.1396870e+00
57,1.1200000e-03,-3.4435403e+01,5.3529534e-01,-2.1552483e+00
58,1.1400000e-03,-3.5263722e+01,4.9355068e-01,-2.1689970e+00
