No,TIME,Acc_TX@StRq3,Acc_TY@StRq3,Acc_TZ@StRq3
1,0.0000000e+00,-9.8066500e+03,3.8578397e-08,-1.2700248e-08
2,1.0000000e-04,-1.5322277e+04,1.5165904e+03,-5.2957371e+02
3,2.0000000e-04,-1.8828780e+04,2.1910703e+03,-9.8429049e+02
4,3.0000000e-04,-2.1104099e+04,2.5628564e+03,-1.3900346e+03
5,4.0000000e-04,-2.5272427e+04,3.2503317e+03,-1.9866068e+03
6,5.0000000e-04,-3.0735843e+04,3.6178527e+03,-2.7112302e+03
7,6.0000000e-04,-3.4289384e+04,2.6078190e+03,-3.1405922e+03
8,7.0000000e-04,-3.6658726e+04,5.7884152e+02,-3.2400065e+03
9,8.0000000e-04,-3.8583412e+04,-1.4690585e+03,-2.9271482e+03
10,9.0000000e-04,-3.9984856e+04,-2.4845608e+03,-2.4083218e+03
11,1.0000000e-03,-4.0859509e+04,-2.8004844e+03,-1.7499558e+03
12,1.1000000e-03,-4.1289786e+04,-2.5271538e+03,-1.1365526e+03
13,1.2000000e-03,-4.1333715e+04,-2.1622441e+03,-8.2459584e+02
14,1.3000000e-03,-4.1244224e+04,-1.7534740e+03,-4.9939261e+02
15,1.4000000e-03,-4.1057800e+04,-1.3683392e+03,-1.6127164e+02
16,1.5000000e-03,-4.0817254e+04,-1.0188841e+03,1.0260556e+02
17,1.6000000e-03,-4.0544722e+04,-7.3218797e+02,3.0287881e+02
18,1.7000000e-03,-4.0250680e+04,-5.0439863e+02,4.1077876e+02
19,1.8000000e-03,-3.9968689e+04,-3.4254100e+02,5.0447573e+02
20,1.9000000e-03,-3.9729877e+04,-2.2054505e+02,6.1988065e+02
21,2.0000000e-03,-3.9524588e+04,-1.0708282e+02,6.8901789e+02
22,2.1000000e-03,-3.9344705e+04,-1.1794353e+01,7.2606526e+02
23,2.2000000e-03,-3.9171182e+04,6.8076745e+01,7.0330841e+02
24,2.3000000e-03,-3.9015632e+04,1.1887214e+02,6.8997828e+02
25,2.4000000e-03,-3.8879947e+04,1.5920304e+02,6.7796928e+02
26,2.5000000e-03,-3.8773804e+04,1.9234650e+02,6.9862123e+02
27,2.6000000e-03,-3.8674160e+04,2.3518150e+02,6.9052306e+02
28,2.7000000e-03,-3.8568925e+04,2.7272072e+02,6.6542417e+02
29,2.8000000e-03,-3.8439644e+04,3.0406892e+02,5.9732813e+02
30,2.9000000e-03,-3.8304940e+04,2.8360729e+02,5.4078469e+02
