No,TIME,Pos_TX@StRq1,Pos_TY@StRq1,Pos_TZ@StRq1
1,0.0000000e+00,1.2500000e+01,-4.3000000e+01,1.1500000e+02
2,1.0000000e-04,1.2499943e+01,-4.2999997e+01,1.1500000e+02
3,2.0000000e-04,1.2499730e+01,-4.2999980e+01,1.1499999e+02
4,3.0000000e-04,1.2499324e+01,-4.2999939e+01,1.1499998e+02
5,4.0000000e-04,1.2498697e+01,-4.2999871e+01,1.1499994e+02
6,5.0000000e-04,1.2497804e+01,-4.2999770e+01,1.1499989e+02
7,6.0000000e-04,1.2496591e+01,-4.2999635e+01,1.1499981e+02
8,7.0000000e-04,1.2495024e+01,-4.2999484e+01,1.1499969e+02
9,8.0000000e-04,1.2493080e+01,-4.2999338e+01,1.1499954e+02
10,9.0000000e-04,1.2490743e+01,-4.2999213e+01,1.1499937e+02
11,1.0000000e-03,1.2488001e+01,-4.2999114e+01,1.1499918e+02
12,1.1000000e-03,1.2484849e+01,-4.2999041e+01,1.1499897e+02
13,1.2000000e-03,1.2481283e+01,-4.2998991e+01,1.1499875e+02
14,1.3000000e-03,1.2477304e+01,-4.2998958e+01,1.1499853e+02
15,1.4000000e-03,1.2472915e+01,-4.2998939e+01,1.1499831e+02
16,1.5000000e-03,1.2468118e+01,-4.2998930e+01,1.1499809e+02
17,1.6000000e-03,1.2462916e+01,-4.2998928e+01,1.1499787e+02
18,1.7000000e-03,1.2457310e+01,-4.2998931e+01,1.1499766e+02
19,1.8000000e-03,1.2451306e+01,-4.2998938e+01,1.1499745e+02
20,1.9000000e-03,1.2444904e+01,-4.2998947e+01,1.1499724e+02
21,2.0000000e-03,1.2438106e+01,-4.2998957e+01,1.1499705e+02
22,2.1000000e-03,1.2430915e+01,-4.2998967e+01,1.1499686e+02
23,2.2000000e-03,1.2423333e+01,-4.2998976e+01,1.1499668e+02
24,2.3000000e-03,1.2415360e+01,-4.2998984e+01,1.1499651e+02
25,2.4000000e-03,1.2406999e+01,-4.2998991e+01,1.1499634e+02
26,2.5000000e-03,1.2398250e+01,-4.2998996e+01,1.1499618e+02
27,2.6000000e-03,1.2389114e+01,-4.2998998e+01,1.1499603e+02
28,2.7000000e-03,1.2379592e+01,-4.2998998e+01,1.1499588e+02
29,2.8000000e-03,1.2369686e+01,-4.2998994e+01,1.1499574e+02
30,2.9000000e-03,1.2359397e+01,-4.2998988e+01,1.1499560e+02
31,3.0000000e-03,1.2348726e+01,-4.2998979e+01,1.1499548e+02
32,3.1000000e-03,1.2337675e+01,-4.2998966e+01,1.1499535e+02
33,3.2000000e-03,1.2326245e+01,-4.2998951e+01,1.1499523e+02
34,3.3000000e-03,1.2314438e+01,-4.2998932e+01,1.1499512e+02
35,3.4000000e-03,1.2302255e+01,-4.2998910e+01,1.1499500e+02
36,3.5000000e-03,1.2289699e+01,-4.2998885e+01,1.1499490e+02
37,3.6000000e-03,1.2276770e+01,-4.2998856e+01,1.1499479e+02
38,3.7000000e-03,1.2263473e+01,-4.2998823e+01,1.1499469e+02
39,3.8000000e-03,1.2249808e+01,-4.2998787e+01,1.1499459e+02
40,3.9000000e-03,1.2235779e+01,-4.2998749e+01,1.1499449e+02
41,4.0000000e-03,1.2221389e+01,-4.2998707e+01,1.1499439e+02
42,4.1000000e-03,1.2206640e+01,-4.2998662e+01,1.1499429e+02
43,4.2000000e-03,1.2191536e+01,-4.2998616e+01,1.1499419e+02
44,4.3000000e-03,1.2176079e+01,-4.2998566e+01,1.1499409e+02
45,4.4000000e-03,1.2160273e+01,-4.2998514e+01,1.1499399e+02
46,4.5000000e-03,1.2144122e+01,-4.2998460e+01,1.1499389e+02
47,4.6000000e-03,1.2127627e+01,-4.2998404e+01,1.1499378e+02
48,4.7000000e-03,1.2110794e+01,-4.2998347e+01,1.1499368e+02
49,4.8000000e-03,1.2093627e+01,-4.2998288e+01,1.1499357e+02
50,4.9000000e-03,1.2076128e+01,-4.2998228e+01,1.1499346e+02
51,5.0000000e-03,1.2058302e+01,-4.2998167e+01,1.1499335e+02
52,5.1000000e-03,1.2040153e+01,-4.2998106e+01,1.1499323e+02
53,5.2000000e-03,1.2021686e+01,-4.2998044e+01,1.1499311e+02
54,5.3000000e-03,1.2002904e+01,-4.2997982e+01,1.1499298e+02
55,5.4000000e-03,1.1983813e+01,-4.2997921e+01,1.1499285e+02
56,5.5000000e-03,1.1964416e+01,-4.2997859e+01,1.1499272e+02
57,5.6000000e-03,1.1944719e+01,-4.2997799e+01,1.1499258e+02
58,5.7000000e-03,1.1924726e+01,-4.2997739e+01,1.1499244e+02
59,5.8000000e-03,1.1904442e+01,-4.2997680e+01,1.1499229e+02
60,5.9000000e-03,1.1883871e+01,-4.2997622e+01,1.1499213e+02
61,6.0000000e-03,1.1863019e+01,-4.2997566e+01,1.1499197e+02
62,6.1000000e-03,1.1841889e+01,-4.2997511e+01,1.1499181e+02
63,6.2000000e-03,1.1820488e+01,-4.2997458e+01,1.1499164e+02
64,6.3000000e-03,1.1798820e+01,-4.2997406e+01,1.1499146e+02
65,6.4000000e-03,1.1776890e+01,-4.2997357e+01,1.1499128e+02
66,6.5000000e-03,1.1754703e+01,-4.2997309e+01,1.1499110e+02
67,6.6000000e-03,1.1732265e+01,-4.2997263e+01,1.1499091e+02
68,6.7000000e-03,1.1709582e+01,-4.2997219e+01,1.1499072e+02
69,6.8000000e-03,1.1686658e+01,-4.2997177e+01,1.1499053e+02
70,6.9000000e-03,1.1663501e+01,-4.2997135e+01,1.1499033e+02
71,7.0000000e-03,1.1640116e+01,-4.2997095e+01,1.1499013e+02
72,7.1000000e-03,1.1616511e+01,-4.2997056e+01,1.1498993e+02
73,7.2000000e-03,1.1592691e+01,-4.2997017e+01,1.1498972e+02
74,7.3000000e-03,1.1568665e+01,-4.2996979e+01,1.1498952e+02
75,7.4000000e-03,1.1544441e+01,-4.2996940e+01,1.1498932e+02
76,7.5000000e-03,1.1520026e+01,-4.2996902e+01,1.1498911e+02
77,7.6000000e-03,1.1495429e+01,-4.2996862e+01,1.1498891e+02
78,7.7000000e-03,1.1470659e+01,-4.2996823e+01,1.1498871e+02
79,7.8000000e-03,1.1445725e+01,-4.2996782e+01,1.1498851e+02
80,7.9000000e-03,1.1420638e+01,-4.2996740e+01,1.1498830e+02
81,8.0000000e-03,1.1395407e+01,-4.2996698e+01,1.1498810e+02
82,8.1000000e-03,1.1370043e+01,-4.2996655e+01,1.1498790e+02
83,8.2000000e-03,1.1344557e+01,-4.2996612e+01,1.1498769e+02
84,8.3000000e-03,1.1318959e+01,-4.2996568e+01,1.1498748e+02
85,8.4000000e-03,1.1293260e+01,-4.2996526e+01,1.1498727e+02
86,8.5000000e-03,1.1267473e+01,-4.2996485e+01,1.1498705e+02
87,8.6000000e-03,1.1241607e+01,-4.2996446e+01,1.1498682e+02
88,8.7000000e-03,1.1215674e+01,-4.2996411e+01,1.1498659e+02
89,8.8000000e-03,1.1189686e+01,-4.2996379e+01,1.1498635e+02
90,8.9000000e-03,1.1163653e+01,-4.2996353e+01,1.1498609e+02
91,9.0000000e-03,1.1137587e+01,-4.2996332e+01,1.1498582e+02
92,9.1000000e-03,1.1111499e+01,-4.2996318e+01,1.1498554e+02
93,9.2000000e-03,1.1085401e+01,-4.2996311e+01,1.1498525e+02
94,9.3000000e-03,1.1059303e+01,-4.2996312e+01,1.1498494e+02
95,9.4000000e-03,1.1033218e+01,-4.2996322e+01,1.1498461e+02
96,9.5000000e-03,1.1007157e+01,-4.2996341e+01,1.1498427e+02
97,9.6000000e-03,1.0981132e+01,-4.2996371e+01,1.1498392e+02
98,9.7000000e-03,1.0955157e+01,-4.2996412e+01,1.1498355e+02
99,9.8000000e-03,1.0929245e+01,-4.2996465e+01,1.1498316e+02
100,9.9000000e-03,1.0903407e+01,-4.2996532e+01,1.1498276e+02
101,1.0000000e-02,1.0877659e+01,-4.2996614e+01,1.1498234e+02
102,1.0100000e-02,1.0852014e+01,-4.2996711e+01,1.1498191e+02
103,1.0200000e-02,1.0826490e+01,-4.2996825e+01,1.1498146e+02
104,1.0300000e-02,1.0801102e+01,-4.2996958e+01,1.1498099e+02
105,1.0400000e-02,1.0775868e+01,-4.2997112e+01,1.1498052e+02
106,1.0500000e-02,1.0750803e+01,-4.2997287e+01,1.1498002e+02
107,1.0600000e-02,1.0725924e+01,-4.2997485e+01,1.1497952e+02
108,1.0700000e-02,1.0701249e+01,-4.2997706e+01,1.1497900e+02
109,1.0800000e-02,1.0676793e+01,-4.2997946e+01,1.1497847e+02
110,1.0900000e-02,1.0652578e+01,-4.2998203e+01,1.1497792e+02
111,1.1000000e-02,1.0628622e+01,-4.2998473e+01,1.1497737e+02
112,1.1100000e-02,1.0604948e+01,-4.2998754e+01,1.1497681e+02
113,1.1200000e-02,1.0581577e+01,-4.2999045e+01,1.1497624e+02
114,1.1300000e-02,1.0558530e+01,-4.2999345e+01,1.1497567e+02
115,1.1400000e-02,1.0535829e+01,-4.2999653e+01,1.1497509e+02
116,1.1500000e-02,1.0513494e+01,-4.2999969e+01,1.1497451e+02
117,1.1600000e-02,1.0491545e+01,-4.3000293e+01,1.1497394e+02
118,1.1700000e-02,1.0470001e+01,-4.3000624e+01,1.1497336e+02
119,1.1800000e-02,1.0448881e+01,-4.3000964e+01,1.1497278e+02
120,1.1900000e-02,1.0428205e+01,-4.3001311e+01,1.1497221e+02
121,1.2000000e-02,1.0407991e+01,-4.3001664e+01,1.1497164e+02
122,1.2100000e-02,1.0388258e+01,-4.3002023e+01,1.1497108e+02
123,1.2200000e-02,1.0369026e+01,-4.3002388e+01,1.1497053e+02
124,1.2300000e-02,1.0350314e+01,-4.3002758e+01,1.1496999e+02
125,1.2400000e-02,1.0332142e+01,-4.3003133e+01,1.1496946e+02
126,1.2500000e-02,1.0314530e+01,-4.3003514e+01,1.1496893e+02
127,1.2600000e-02,1.0297498e+01,-4.3003900e+01,1.1496843e+02
128,1.2700000e-02,1.0281068e+01,-4.3004290e+01,1.1496793e+02
129,1.2800000e-02,1.0265260e+01,-4.3004684e+01,1.1496746e+02
130,1.2900000e-02,1.0250096e+01,-4.3005082e+01,1.1496699e+02
131,1.3000000e-02,1.0235597e+01,-4.3005484e+01,1.1496655e+02
132,1.3100000e-02,1.0221785e+01,-4.3005888e+01,1.1496613e+02
133,1.3200000e-02,1.0208682e+01,-4.3006295e+01,1.1496573e+02
134,1.3300000e-02,1.0196310e+01,-4.3006704e+01,1.1496535e+02
135,1.3400000e-02,1.0184692e+01,-4.3007115e+01,1.1496499e+02
136,1.3500000e-02,1.0173851e+01,-4.3007528e+01,1.1496466e+02
137,1.3600000e-02,1.0163809e+01,-4.3007943e+01,1.1496435e+02
138,1.3700000e-02,1.0154591e+01,-4.3008358e+01,1.1496407e+02
139,1.3800000e-02,1.0146219e+01,-4.3008775e+01,1.1496382e+02
140,1.3900000e-02,1.0138716e+01,-4.3009193e+01,1.1496360e+02
141,1.4000000e-02,1.0132105e+01,-4.3009611e+01,1.1496341e+02
142,1.4100000e-02,1.0126410e+01,-4.3010029e+01,1.1496325e+02
143,1.4200000e-02,1.0121654e+01,-4.3010446e+01,1.1496313e+02
144,1.4300000e-02,1.0117860e+01,-4.3010863e+01,1.1496303e+02
145,1.4400000e-02,1.0115050e+01,-4.3011279e+01,1.1496298e+02
146,1.4500000e-02,1.0113249e+01,-4.3011695e+01,1.1496296e+02
147,1.4600000e-02,1.0112479e+01,-4.3012110e+01,1.1496298e+02
148,1.4700000e-02,1.0112763e+01,-4.3012525e+01,1.1496303e+02
149,1.4800000e-02,1.0114124e+01,-4.3012938e+01,1.1496312e+02
150,1.4900000e-02,1.0116585e+01,-4.3013350e+01,1.1496325e+02
151,1.5000000e-02,1.0120168e+01,-4.3013762e+01,1.1496343e+02
152,1.5100000e-02,1.0124894e+01,-4.3014171e+01,1.1496364e+02
153,1.5200000e-02,1.0130787e+01,-4.3014580e+01,1.1496389e+02
154,1.5300000e-02,1.0137866e+01,-4.3014987e+01,1.1496418e+02
155,1.5400000e-02,1.0146152e+01,-4.3015392e+01,1.1496452e+02
156,1.5500000e-02,1.0155667e+01,-4.3015796e+01,1.1496489e+02
157,1.5600000e-02,1.0166431e+01,-4.3016197e+01,1.1496531e+02
158,1.5700000e-02,1.0178462e+01,-4.3016597e+01,1.1496577e+02
159,1.5800000e-02,1.0191780e+01,-4.3016995e+01,1.1496627e+02
160,1.5900000e-02,1.0206403e+01,-4.3017390e+01,1.1496681e+02
161,1.6000000e-02,1.0222350e+01,-4.3017783e+01,1.1496740e+02
162,1.6100000e-02,1.0239638e+01,-4.3018174e+01,1.1496802e+02
163,1.6200000e-02,1.0258285e+01,-4.3018563e+01,1.1496868e+02
164,1.6300000e-02,1.0278308e+01,-4.3018949e+01,1.1496939e+02
165,1.6400000e-02,1.0299721e+01,-4.3019332e+01,1.1497013e+02
166,1.6500000e-02,1.0322542e+01,-4.3019713e+01,1.1497091e+02
167,1.6600000e-02,1.0346783e+01,-4.3020090e+01,1.1497172e+02
168,1.6700000e-02,1.0372460e+01,-4.3020465e+01,1.1497257e+02
169,1.6800000e-02,1.0399586e+01,-4.3020836e+01,1.1497346e+02
170,1.6900000e-02,1.0428173e+01,-4.3021204e+01,1.1497438e+02
171,1.7000000e-02,1.0458234e+01,-4.3021569e+01,1.1497533e+02
172,1.7100000e-02,1.0489779e+01,-4.3021930e+01,1.1497631e+02
173,1.7200000e-02,1.0522820e+01,-4.3022287e+01,1.1497731e+02
174,1.7300000e-02,1.0557365e+01,-4.3022641e+01,1.1497835e+02
175,1.7400000e-02,1.0593424e+01,-4.3022991e+01,1.1497940e+02
176,1.7500000e-02,1.0631004e+01,-4.3023337e+01,1.1498048e+02
177,1.7600000e-02,1.0670113e+01,-4.3023679e+01,1.1498158e+02
178,1.7700000e-02,1.0710757e+01,-4.3024017e+01,1.1498269e+02
179,1.7800000e-02,1.0752943e+01,-4.3024350e+01,1.1498382e+02
180,1.7900000e-02,1.0796675e+01,-4.3024679e+01,1.1498496e+02
181,1.8000000e-02,1.0841958e+01,-4.3025002e+01,1.1498610e+02
182,1.8100000e-02,1.0888795e+01,-4.3025320e+01,1.1498726e+02
183,1.8200000e-02,1.0937190e+01,-4.3025632e+01,1.1498841e+02
184,1.8300000e-02,1.0987144e+01,-4.3025939e+01,1.1498957e+02
185,1.8400000e-02,1.1038659e+01,-4.3026240e+01,1.1499072e+02
186,1.8500000e-02,1.1091736e+01,-4.3026534e+01,1.1499186e+02
187,1.8600000e-02,1.1146374e+01,-4.3026822e+01,1.1499299e+02
188,1.8700000e-02,1.1202575e+01,-4.3027104e+01,1.1499411e+02
189,1.8800000e-02,1.1260335e+01,-4.3027378e+01,1.1499521e+02
190,1.8900000e-02,1.1319655e+01,-4.3027645e+01,1.1499628e+02
191,1.9000000e-02,1.1380531e+01,-4.3027905e+01,1.1499733e+02
192,1.9100000e-02,1.1442960e+01,-4.3028158e+01,1.1499835e+02
193,1.9200000e-02,1.1506940e+01,-4.3028402e+01,1.1499934e+02
194,1.9300000e-02,1.1572465e+01,-4.3028638e+01,1.1500028e+02
195,1.9400000e-02,1.1639531e+01,-4.3028866e+01,1.1500119e+02
196,1.9500000e-02,1.1708133e+01,-4.3029086e+01,1.1500204e+02
197,1.9600000e-02,1.1778265e+01,-4.3029296e+01,1.1500284e+02
198,1.9700000e-02,1.1849921e+01,-4.3029498e+01,1.1500359e+02
199,1.9800000e-02,1.1923096e+01,-4.3029690e+01,1.1500427e+02
200,1.9900000e-02,1.1997781e+01,-4.3029872e+01,1.1500489e+02
201,2.0000000e-02,1.2073969e+01,-4.3030045e+01,1.1500543e+02
202,2.0100000e-02,1.2151653e+01,-4.3030208e+01,1.1500590e+02
203,2.0200000e-02,1.2230824e+01,-4.3030361e+01,1.1500629e+02
204,2.0300000e-02,1.2311474e+01,-4.3030504e+01,1.1500659e+02
205,2.0400000e-02,1.2393593e+01,-4.3030636e+01,1.1500681e+02
206,2.0500000e-02,1.2477173e+01,-4.3030758e+01,1.1500692e+02
207,2.0600000e-02,1.2562205e+01,-4.3030869e+01,1.1500694e+02
208,2.0700000e-02,1.2648677e+01,-4.3030968e+01,1.1500684e+02
209,2.0800000e-02,1.2736581e+01,-4.3031057e+01,1.1500664e+02
210,2.0900000e-02,1.2825907e+01,-4.3031135e+01,1.1500632e+02
211,2.1000000e-02,1.2916643e+01,-4.3031201e+01,1.1500588e+02
