Pos_TX	Vel_TX	Acc_TX	Pos_TY	Vel_TY	Acc_TY	Pos_TZ	Vel_TZ	Acc_TZ
-1.040674342485661041e+00	1.705870321019579148e-03	-5.072087964784821774e-03	-3.027976210598761764e-01	-2.893216802334718733e-03	3.220080466462928344e-03	8.489074523425250707e-01	-2.122221585226032492e-04	4.693810854893308354e-04
-1.040680583374566481e+00	1.318908283973322000e-03	-9.018740399130848948e-03	-3.027766824995896666e-01	-1.718909047166746222e-03	3.406520726342287392e-02	8.489074523425250707e-01	-2.570686236767119994e-04	-9.891149167069930061e-04
-1.040703502501064470e+00	7.698584272689001657e-04	-1.226471267876505511e-02	-3.026510511378703860e-01	1.170000726279594875e-03	5.218041540713080906e-02	8.489006526769868888e-01	-3.974622626028455124e-04	-2.532662190663775761e-03
-1.040747081121869977e+00	1.411339944967354698e-04	-1.417185177256510657e-02	-3.023718703339670633e-01	4.684923133255332675e-03	6.090232107067213019e-02	8.488938530114487069e-01	-6.094415142878691896e-04	-3.832180916896646850e-03
-1.040814439681436276e+00	-5.963359788524200469e-04	-1.759823380177042568e-02	-3.018972629674058772e-01	9.052025435062923189e-03	7.680446000944020357e-02	8.488666543493056382e-01	-9.107655136599825075e-04	-5.690204148942681027e-03
-1.040910420248741364e+00	-1.501026365559677720e-03	-2.203455639459318480e-02	-3.011923314376430127e-01	1.424767738737743768e-02	8.471035312551586371e-02	8.488326560216243877e-01	-1.331992041395508707e-03	-7.935223968340295031e-03
-1.041040833306559721e+00	-2.544787395706381468e-03	-2.514263570941213319e-02	-3.002431167045205851e-01	1.840065602214328508e-02	5.567940945172057676e-02	8.487782586973382504e-01	-1.849175320100480404e-03	-9.383199178308206795e-03
-1.041209229705475137e+00	-3.671819697809503968e-03	-2.702213414660851673e-02	-2.991752501297578193e-01	1.929086738616891256e-02	1.407926385687904253e-05	8.486966627109091554e-01	-2.398503108858362175e-03	-9.544785712622166213e-03
-1.041418299483809484e+00	-4.858939792744813857e-03	-2.848562271303670124e-02	-2.981422811554396146e-01	1.691441562170793375e-02	-4.549629769847678834e-02	8.485946677278654038e-01	-2.893086725269531072e-03	-8.144628539507545520e-03
-1.041669656664554910e+00	-6.090718961480512568e-03	-2.949673434894754462e-02	-2.972628616232558252e-01	1.314461741632606991e-02	-5.963772765528892184e-02	8.484790734137550583e-01	-3.292453297403177045e-03	-6.320267642555705764e-03
-1.041964700067638860e+00	-7.349125643278720844e-03	-3.005615829579983550e-02	-2.965788686537795260e-01	9.023458053054832922e-03	-6.030464594547196855e-02	8.483430801030397150e-01	-3.584021253665987256e-03	-4.226427360258582996e-03
-1.042304075302258326e+00	-8.619194420015659566e-03	-3.026929823959854590e-02	-2.960903022470603441e-01	5.395161607346572220e-03	-4.977116292728091945e-02	8.482070867923148239e-01	-3.764552519920543253e-03	-2.359767822327042859e-03
-1.042687997571479119e+00	-9.890917008946155387e-03	-3.024445204228901410e-02	-2.957552852823763789e-01	2.579630793845654000e-03	-3.686159815211573210e-02	8.480574941505231168e-01	-3.869891866298066137e-03	-1.213961275201463127e-03
-1.043116359273768667e+00	-1.115669318602335869e-02	-3.004991523601224096e-02	-2.955458996795108928e-01	4.506009059131120520e-04	-2.735282835447511510e-02	8.479079015087315208e-01	-3.922950028693224581e-03	-2.113255109296069455e-04
-1.043588837604527697e+00	-1.241356433868476793e-02	-2.981406063793396594e-02	-2.954202683177420408e-01	-1.167245517989923872e-03	-2.013477343178901591e-02	8.477515092014016318e-01	-3.922097842754577318e-03	8.348948883167971614e-04
-1.044105217360691062e+00	-1.366189391850477879e-02	-2.960106907250485350e-02	-2.953714116770899678e-01	-2.335411080717458236e-03	-1.303382929381525189e-02	8.476019165596100358e-01	-3.874632596763303086e-03	1.500282222486336780e-03
-1.044665175737659935e+00	-1.490190988919277634e-02	-2.937654946503760051e-02	-2.953644321570109699e-01	-3.139585910223593838e-03	-7.971331832339870541e-03	8.474523239178183287e-01	-3.801310073665768383e-03	1.930003938073632892e-03
-1.045268389930835928e+00	-1.613237780575643363e-02	-2.912415147648205263e-02	-2.953853707172975351e-01	-3.670002464233327027e-03	-4.384756225239341138e-03	8.473095309415552556e-01	-3.722184119500370012e-03	1.994192620484933932e-03
-1.045914644737153232e+00	-1.735430169164894204e-02	-2.891957280506265299e-02	-2.954342273579496081e-01	-4.049029949319884851e-03	-1.977551391243973552e-03	8.471667379653017305e-01	-3.628706643558157058e-03	2.254020091300120918e-03
-1.046603402148947870e+00	-1.856976517204152882e-02	-2.877087294899484046e-02	-2.954970430388092484e-01	-4.296059450164537233e-03	7.974925046005565098e-06	8.470307446545864982e-01	-3.516523246306919436e-03	2.672021984710158150e-03
-1.047334769767752194e+00	-1.978052098677520951e-02	-2.864952098145734372e-02	-2.955668382397974581e-01	-4.371343574683471574e-03	2.781689669446828217e-03	8.468947513438614960e-01	-3.391799118635347669e-03	2.772006293179621675e-03
-1.048108424788968041e+00	-2.098652858165910712e-02	-2.852764091456137449e-02	-2.956366334407360963e-01	-4.312858265724842446e-03	4.638082815800042939e-03	8.467655576986747867e-01	-3.265126236132715951e-03	2.794203929234675629e-03
-1.048924259611062171e+00	-2.218761467969578363e-02	-2.839249773598274615e-02	-2.957064286417243060e-01	-4.142540163996711287e-03	6.069245910404947632e-03	8.466431637190261483e-01	-3.148111626955776669e-03	2.553183838243216260e-03
-1.049782059030969439e+00	-2.338387820853271570e-02	-2.828000459529692728e-02	-2.957622648025049483e-01	-3.940963147602822778e-03	6.560005475002595246e-03	8.465275694049158028e-01	-3.034581301101335442e-03	2.547474122584248400e-03
-1.050681607845623589e+00	-2.457653272160934335e-02	-2.819086748635927023e-02	-2.958041419230780789e-01	-3.691786904667037749e-03	7.357003951272692542e-03	8.464119750908053463e-01	-2.921869126874724384e-03	2.523262851308398416e-03
-1.051623013656557637e+00	-2.576670974229718775e-02	-2.813759805620640736e-02	-2.958390395235721559e-01	-3.402828617545122347e-03	8.292369451903532779e-03	8.463031804422331827e-01	-2.800053853641305043e-03	2.687380165639278833e-03
-1.052605953659173421e+00	-2.695427378273123134e-02	-2.805870463890337146e-02	-2.958529985637301518e-01	-3.023169871877165547e-03	9.429393790878875733e-03	8.462011854591894311e-01	-2.682972670031987840e-03	2.577417728117457202e-03
-1.053630535455003292e+00	-2.813831575313240768e-02	-2.796425702025372856e-02	-2.958529985637301518e-01	-2.595536272022740554e-03	1.006578792873455939e-02	8.461059901416838613e-01	-2.572389383452224412e-03	2.455667002134720705e-03
-1.054696436239448643e+00	-2.931823932255743850e-02	-2.784537403687705609e-02	-2.958250804833646441e-01	-2.122741385557742888e-03	1.072205809769038488e-02	8.460107948241784026e-01	-2.474881747046217377e-03	2.132283650747946856e-03
-1.055803548410977122e+00	-3.049313110002518229e-02	-2.772246250099241402e-02	-2.957762238427125157e-01	-1.725007659795596169e-03	8.892229406912326509e-03	8.459155995066728329e-01	-2.389512572108792084e-03	1.985952094284621806e-03
-1.056951764368055491e+00	-3.166392137409631408e-02	-2.761645413324466392e-02	-2.957064286417243060e-01	-1.320857486370313316e-03	9.769246010118767462e-03	8.458272038547054450e-01	-2.310191211192996752e-03	1.888246647758509917e-03
-1.058140976509150954e+00	-3.283031213291354167e-02	-2.749855635033281176e-02	-2.956226744005781004e-01	-8.786046652999555950e-04	1.024420915939487815e-02	8.457456078682763501e-01	-2.236397022353849452e-03	1.782248020400205779e-03
-1.059370862029665128e+00	-3.399217126812777851e-02	-2.738781742488758872e-02	-2.955110020790168157e-01	-4.305921841011883821e-04	1.028004988577718541e-02	8.456640118818471441e-01	-2.163000785919716017e-03	1.845833509663341761e-03
-1.060641420929597789e+00	-3.514979679159629250e-02	-2.726688666046379536e-02	-2.953783911971689102e-01	5.884515424688233954e-05	1.101857141094766436e-02	8.455892155609464611e-01	-2.092626796286114511e-03	1.702546092984450745e-03
-1.061952438005883126e+00	-3.630175394520207544e-02	-2.711218944642471845e-02	-2.952248417550344950e-01	5.657148464470990830e-04	1.114743095275189805e-02	8.455076195745173662e-01	-2.031039635600267405e-03	1.542053065645839069e-03
-1.063303590453922975e+00	-3.744734839204052340e-02	-2.694317691065188647e-02	-2.950433742325345721e-01	1.069770593360643658e-03	1.105583950002391423e-02	8.454396229191548651e-01	-1.977952585546172148e-03	1.387103334805029828e-03
-1.064694878273717116e+00	-3.858611928903336874e-02	-2.676259245751656107e-02	-2.948409681497480839e-01	1.563707983625619658e-03	1.087616276230009456e-02	8.453648265982541821e-01	-1.933139027420097611e-03	1.235563853693449335e-03
-1.066125871059134145e+00	-3.971762729911266360e-02	-2.657066423870534447e-02	-2.946106439865464610e-01	2.043535301078811157e-03	1.064019715992356625e-02	8.452968299429013399e-01	-1.896460997747464279e-03	1.086453323119396285e-03
-1.067596353607108473e+00	-4.084097224213217858e-02	-2.634507088239141856e-02	-2.943593812630582729e-01	2.516874577508004199e-03	1.037212785307926009e-02	8.452288332875389498e-01	-1.874591213700704589e-03	7.790851908943347351e-04
-1.069106003113041270e+00	-4.195543213060261983e-02	-2.612057680238560192e-02	-2.940802004592045771e-01	2.937796039390015452e-03	9.613672192174163925e-03	8.451608366321764487e-01	-1.861539653178165580e-03	6.631281471568708065e-04
-1.070654496772334374e+00	-4.306140328957130947e-02	-2.589883649728226198e-02	-2.937870606151433139e-01	3.327545345627106257e-03	9.193337679360173362e-03	8.450928399768139476e-01	-1.854611745083018220e-03	5.485576082385186601e-04
-1.072241726983454546e+00	-4.415856312888346430e-02	-2.566664907858598466e-02	-2.934729822107954855e-01	3.693639226820823272e-03	8.829812514636221910e-03	8.450248433214612165e-01	-1.854052851893097861e-03	4.304933993918273359e-04
-1.073867048137204572e+00	-4.524646309460954308e-02	-2.542257463792511538e-02	-2.931449447662897168e-01	4.035829881810065398e-03	8.449134861813709443e-03	8.449568466660987154e-01	-1.859947345495024332e-03	3.115107594576784714e-04
-1.075530352632052100e+00	-4.632458397021470969e-02	-2.516344697234833977e-02	-2.927959687614478113e-01	4.418151162249238720e-03	9.112261601117565418e-03	8.448888500107362143e-01	-1.871088153399897303e-03	2.227230601138035582e-04
-1.077231317663398080e+00	-4.739236967171784470e-02	-2.489288140858161510e-02	-2.924330337163982829e-01	4.746837369319845817e-03	8.091180143701505456e-03	8.448208533553737132e-01	-1.888451313233530885e-03	9.845096784659424470e-05
-1.078969405223578759e+00	-4.844954983784637015e-02	-2.461514581908388552e-02	-2.920561396311908142e-01	5.027382191811678031e-03	7.414834823532764907e-03	8.447528567000112121e-01	-1.912501783487991110e-03	-2.324447840377410137e-05
-1.080744400109528103e+00	-4.949577115557360352e-02	-2.432733166871770686e-02	-2.916583069856968358e-01	5.270188414033967136e-03	6.847353676088072279e-03	8.446848600446584809e-01	-1.943024417512607179e-03	-1.413880415962619392e-04
-1.082555764313581692e+00	-5.053062193841629385e-02	-2.402901137250402358e-02	-2.912604743402028018e-01	5.478018618330639591e-03	6.305219111079831892e-03	8.446100637237577979e-01	-1.979849209774323451e-03	-2.564774835175767436e-04
-1.084403175031141586e+00	-5.155376423478370135e-02	-2.372262360074318954e-02	-2.908486826545012560e-01	5.651627510893843069e-03	5.770923531701063237e-03	8.445352674028667739e-01	-2.022830725852284295e-03	-3.690857781358480275e-04
