theta1	omega1	alpha1	theta2	omega2	alpha2
3.141592653589793116e+00	0.000000000000000000e+00	-2.160111125070688764e-05	1.570796326794896558e+00	0.000000000000000000e+00	-9.810000000143620724e+00
3.141592651016766879e+00	-2.013076542296155409e-06	-1.216803942017305983e-03	1.570673922221935914e+00	-4.900589491784148460e-02	-9.810000239078963347e+00
3.141592613420884028e+00	-1.600981229314210759e-05	-4.819233828710094494e-03	1.570306708492245296e+00	-9.801179648560963409e-02	-9.810003609414408743e+00
3.141592448793764092e+00	-5.400153651749465687e-05	-1.082349136014581700e-02	1.569694685485719665e+00	-1.470177402691070501e-01	-9.810019765713121842e+00
3.141592005769039186e+00	-1.279870871672199816e-04	-1.922976338757534376e-02	1.568837852773036001e+00	-1.960238142871958689e-01	-9.810057728263885224e+00
3.141591076101594382e+00	-2.499669504556507188e-04	-3.003852510287921551e-02	1.567736209277855064e+00	-2.450301854886231812e-01	-9.810140213845897961e+00
3.141589394656340684e+00	-4.319437209148724571e-04	-4.325033470921013645e-02	1.566389752976871330e+00	-2.940371156732752289e-01	-9.810290431563231550e+00
3.141586629969357780e+00	-6.859233718399710984e-04	-5.886575881704864122e-02	1.564798480130471958e+00	-3.430450070897024806e-01	-9.810530790747407082e+00
3.141582393718989064e+00	-1.023916020617719703e-03	-7.688594768323736561e-02	1.562962384661404691e+00	-3.920544150358133417e-01	-9.810902962949000994e+00
3.141576233737090718e+00	-1.457937478218874518e-03	-9.731205734423920006e-02	1.560881457125696592e+00	-4.410660857904298848e-01	-9.811442784227182301e+00
3.141567637974387317e+00	-2.000010754778048638e-03	-1.201457419014057004e-01	1.558555683688609861e+00	-4.900809773399721347e-01	-9.812197158808032782e+00
3.141556044490744437e+00	-2.662165913913717465e-03	-1.453886749258668232e-01	1.555985046205283773e+00	-5.391002385709593447e-01	-9.813208401633062294e+00
3.141540820594785455e+00	-3.456445393636521646e-03	-1.730434393690123418e-01	1.553169519000521248e+00	-5.881253180001142500e-01	-9.814535061491142187e+00
3.141521273748631327e+00	-4.394904281665171913e-03	-2.031129109839877600e-01	1.550109068793126710e+00	-6.371579406351635111e-01	-9.816237846646231446e+00
3.141496653738815592e+00	-5.489613567555451379e-03	-2.356004992437550349e-01	1.546803652896956205e+00	-6.862001296435231712e-01	-9.818378076498675000e+00
3.141466148149749671e+00	-6.752663215458472139e-03	-2.705104210240274476e-01	1.543253217645591757e+00	-7.352542410149822683e-01	-9.821022771522166295e+00
3.141428887318096663e+00	-8.196164936213726909e-03	-3.078473923711850802e-01	1.539457697133447933e+00	-7.843229679265748544e-01	-9.824243975843671706e+00
3.141383939481942278e+00	-9.832257389102452144e-03	-3.476171711012332466e-01	1.535417010756036316e+00	-8.334093841774987688e-01	-9.828119040151079844e+00
3.141330312157674776e+00	-1.167311021220786629e-02	-3.898263604634015778e-01	1.531131061509247937e+00	-8.825169580966959471e-01	-9.832728835968566727e+00
3.141266951998533674e+00	-1.373092814442714374e-02	-4.344830437198119455e-01	1.526599734281852916e+00	-9.316495703616297641e-01	-9.838160000122229576e+00
3.141192744509046175e+00	-1.601795903604664312e-02	-4.815953994706463348e-01	1.521822892659186577e+00	-9.808115453037288267e-01	-9.844499718407917044e+00
3.141106514131340788e+00	-1.854649161232160143e-02	-5.311727489063926555e-01	1.516800379741832128e+00	-1.030007644289337110e+00	-9.851839322759929019e+00
3.141007023621554151e+00	-2.132887133124081874e-02	-5.832278249996907249e-01	1.511532012552980309e+00	-1.079243110278275353e+00	-9.860279023231896645e+00
