theta1	omega1	alpha1	theta2	omega2	alpha2
3.583929787276596723e+00	6.517407073582374144e-01	1.480434918435690683e+01	1.498606027713682343e+00	-2.499058525494288308e+00	-3.059414121796003982e+01
2.933087477972686319e+00	2.936499011361939221e-02	9.197203556895981791e+00	1.303246691800757251e+00	-2.333645233047756395e+00	-1.227826030265816115e+01
2.728906861070717671e+00	1.092072437384755901e+00	-2.815751847494021298e+00	3.306370089707241000e+00	4.174031550374038169e+00	-1.435233099116118538e+01
2.640860483568963968e+00	1.044584753926325327e+00	-9.616569427152755756e-01	1.871967807897930269e+00	-1.191216062186103430e+00	-2.241959738552624870e+00
4.446791125838588599e+00	5.819711919490022645e-01	-2.352148843601231665e+00	-5.804793962238039562e-01	-4.238997891730784673e-01	6.899452361833073866e-01
3.240370585596001440e+00	-3.503303477307208036e-01	6.312406322935799174e+00	-1.706540873161156657e+00	-1.681309115455027481e+00	-3.036427119391106189e+01
2.605753690035438552e+00	8.689404894823145320e-02	-1.389757242959907835e+01	2.460121886369497357e+00	-3.041965922257590105e-01	2.087294927677336176e+01
2.054392964288353163e+00	8.428555141678951979e-02	5.800426194215110520e+00	2.277102796207054691e+00	-4.964504540896378382e-01	8.191883099344700270e+00
3.799206478594379544e+00	-1.253623579729159054e+00	2.935869751337472966e+00	-1.626977313371466671e+00	4.574821885645926067e-01	-1.911739356755165176e+01
2.500535864921264118e+00	3.050238573818829790e-01	-1.181028351745422356e+01	3.791986701359544742e+00	2.996965312910654378e-02	1.042337027219803147e+01
3.430173012367038421e+00	9.684332949976565130e-02	4.855248275252843193e+00	-1.185799449578173181e-01	-8.635392527174452493e-01	-1.328235976584618783e+01
3.970885702307136000e+00	-3.975729404222761582e-02	5.458787970802028156e+00	-3.467932203841017191e+00	4.329179581529656318e-01	4.267682760247666351e-01
2.714823446789149219e+00	-3.151416236073765198e-01	1.665685441958148827e+00	3.103645713203308176e+00	-2.892985531961082546e-01	-3.657005838817719123e+00
4.349289007348442482e+00	-2.238219736256454040e-01	-4.299387724369311492e+00	1.458974125060274574e+00	7.766654318318038097e-01	-1.167874488733349558e+01
3.463329030163941447e+00	1.301378197461976693e+00	1.298766724396427930e-01	2.980965707791138897e+00	5.160385690919175872e-01	-1.632291676993261120e+01
3.873392137677816649e+00	1.174356347786727206e-01	6.823457104558993791e+00	3.288274578235474976e+00	3.976304788316256111e-01	-5.584168303412480050e+00
2.945805242152067738e+00	-3.184305911300310266e-01	-1.308083496029706083e+01	-1.107966462532222529e+00	8.369376770751926209e-01	-1.441312515590396615e+01
2.694555977925289447e+00	1.120629385081544971e+00	-3.818060668802484070e+00	2.636935858165759150e+00	7.174725692837455870e-01	-1.859502615223069100e+01
