theta1	omega1	alpha1	theta2	omega2	alpha2
1.049671415301123290e+00	2.817141783636545882e-01	-6.712371815664248231e+00	4.959614622140264828e-01	-2.500216468732572861e-01	3.191217398625441071e-01
9.764764718516137920e-01	-3.127849222248541006e-02	-7.503566222426928611e+00	4.865568242042378477e-01	-1.952895727059934528e-01	1.366612879926954127e+00
9.532189082839340744e-01	3.841124049192424783e-01	-9.198035534899622334e+00	6.001931135349076740e-01	1.255309695448445506e+00	1.245939808775138991e+00
9.427828019668715864e-01	3.196400217920428721e-01	-8.933661310988986415e+00	5.215753868862429421e-01	9.277216112637270973e-02	1.939298024759490424e+00
1.144807720405708107e+00	7.575625392705892525e-02	-9.126245160608872808e+00	3.860564973351295337e-01	2.799581313306443442e-01	2.107426197506557131e+00
1.008346865398438652e+00	-3.711142054057411377e-01	-7.898125724563060501e+00	3.247907958756270919e-01	2.152167289344530943e-02	3.282220088834177929e-01
9.358762658507060461e-01	-2.259640462094121005e-01	-1.074536253650248341e+01	5.596669553683265574e-01	3.429280782497003965e-01	3.267102067692214007e+00
8.725355440061344225e-01	-2.708772622071499159e-01	-7.957217063059343509e+00	5.512604461511048104e-01	3.189412489457380540e-01	2.542747975587615006e+00
1.066820334919883706e+00	-8.929093397898147932e-01	-8.353253518276316569e+00	3.347382320543447198e-01	5.472353532441316393e-01	9.805990353434013151e-01
9.191239553310678323e-01	-2.628352639507824939e-01	-1.042550469709214589e+01	6.398260258461150318e-01	4.715037594973414681e-01	2.677994008900989265e+00
1.021432571636412767e+00	-3.963879674887015314e-01	-8.061792692628447554e+00	4.230439996382572287e-01	2.932324791574127953e-01	1.323740117974723685e+00
1.079849275393423458e+00	-4.989078495508854627e-01	-7.964415306304626796e+00	2.377096554464298572e-01	5.969795816981128267e-01	2.114810489651109737e+00
9.362824336569972594e-01	-6.613142548900374784e-01	-8.486417271255096040e+00	6.074331698332340324e-01	4.564619306827903955e-01	1.886422290824026904e+00
1.117084199159156910e+00	-6.651004117868698495e-01	-9.313679354897210771e+00	5.175674761991092554e-01	7.095385233058530972e-01	1.432719790105168922e+00
1.014642105796592642e+00	-4.896995917817115185e-02	-8.672042151339024230e+00	6.049063631689474141e-01	6.706767726042169864e-01	1.172971764792862803e+00
1.057517447711088909e+00	-6.037292030471244075e-01	-7.709249435171891207e+00	6.243446086130848283e-01	6.631511091287682902e-01	1.795276929590246429e+00
9.499672850157548920e-01	-8.349880863609784321e-01	-1.050001107049737215e+01	3.807048805802035751e-01	7.784102438540965174e-01	1.296045067666821815e+00
9.181490212578221621e-01	-2.556557100910905045e-01	-9.171376432814920321e+00	5.925572940135700462e-01	7.707257437846997128e-01	1.063258042228287126e+00
9.742060894970765439e-01	-3.581028387003611368e-01	-1.018687786326973921e+01	7.001739311284428391e-01	9.564810696114312005e-03	2.080734176036489025e+00
8.141042205639692497e-01	-9.977852025845219686e-01	-8.848075822537216695e+00	6.024570183396531498e-01	8.033470743530594094e-01	1.448692261068006193e+00
8.146602426972179289e-01	-1.086827997889586284e+00	-9.409054452077798558e+00	4.040696851363432263e-01	5.472792437765201523e-01	1.915839099013328717e+00
9.921287097879804007e-01	-8.793454857170190930e-01	-7.268253173500378139e+00	6.618906037655123420e-01	6.876391955041910586e-01	3.049098430592845244e+00
