angle	angular_velocity	angular_acceleration
6.043985139618895941e-01	1.057325497191835106e+00	-4.750635196506971525e-01
4.532266403389835219e-01	5.008340975839934428e-01	-2.145714476258009373e+00
4.073525036750096917e-01	1.385258837342140392e+00	-5.710980222477018309e+00
3.887661377866026280e-01	1.320278540804416867e+00	-5.172221091537560156e+00
8.170661225460482679e-01	9.002860948406528063e-01	-5.591498153038238605e+00
5.342816984138373249e-01	7.863927886936922240e-02	-3.034443106087675091e+00
3.863295516885785208e-01	4.281277076554547700e-01	-9.017422224156550925e+00
2.579046740271691007e-01	4.015231674092659686e-01	-3.192816085890580968e+00
6.712904139100264178e-01	-7.669034205296456630e-01	-4.041005444133884517e+00
3.662434485576990806e-01	5.416676312749633126e-01	-8.402293001049452315e+00
5.869894942128619508e-01	3.394342788471763628e-01	-3.469423522845275887e+00
7.158206567269753684e-01	1.984968085009985450e-01	-3.286324767695525395e+00
4.204621763282258007e-01	-6.101820666318699682e-02	-4.402091331918565054e+00
8.071912725422571988e-01	-6.835572629031116954e-03	-6.158610767189637514e+00
5.989380893411251350e-01	1.273639020515538345e+00	-4.838450436941454491e+00
6.964446679075069202e-01	2.375820166848729986e-01	-2.846680060830825809e+00
4.781230147990708224e-01	-1.586061594608197678e-01	-8.721473484972648293e+00
4.193061354860451728e-01	1.048697487365841674e+00	-5.966140051998523930e+00
5.455161682769321674e-01	9.070736933071308350e-01	-8.124359574358132718e+00
2.177384310719762128e-01	-2.975283682532902096e-01	-5.351263654738683151e+00
2.279591516428818854e-01	-4.129347904127195212e-01	-6.560916156259635201e+00
6.103410105846400757e-01	5.812139800442909371e-02	-2.111464043370435473e+00
1.219906578989259915e-01	1.472186069495160288e+00	-2.936023859475117348e+00
5.883872253724702350e-01	-1.424049725121520615e-01	-5.258827991330274898e+00
6.908779215375979721e-01	1.061229095704817466e-01	-4.541766620825062439e+00
9.844960779118780980e-01	-4.018004333231786074e-01	-2.030498204100270598e+00
1.975622762242448260e-01	-2.466697230982179412e-01	-5.742852885221266135e+00
8.484872540794731188e-01	5.128986216128852416e-01	-2.645318695661168729e+00
5.696576160034985126e-01	-1.664186523009933416e-01	-4.149067760687525031e+00
6.851777596072770038e-01	4.269788270731075253e-01	-6.227254235346011413e+00
5.723886113823236643e-01	-1.137891553165584879e+00	-4.283755868438826830e+00
3.683643718133986500e-01	4.374026673750697203e-02	-5.255330582693150454e+00
3.122942777372273992e-01	7.869126267230406313e-01	-7.664740087133614210e+00
6.024354959587064906e-01	-4.280329308875794325e-01	-3.227370490603881592e+00
3.271296597179949583e-01	-1.188480266747931502e+00	-5.493704500655802292e+00
6.862326047983970945e-01	1.407637709799742787e+00	-5.245417667970786013e+00
6.420514002244900320e-01	-8.829203920515613646e-01	-5.446496826054896268e+00
6.586733620645102150e-01	-5.881557280166738177e-02	-2.761141917833302095e+00
4.126982959894848202e-01	-2.475949205389543217e-01	-3.920343009234230180e+00
5.853558152410838211e-01	2.763516089974709100e-01	-6.234945942269521701e+00
5.772790984152629257e-01	-6.579627123935340993e-01	-1.686089415952804593e+00
3.025647444356776017e-01	-1.076172504822075604e+00	-4.148358731380431763e+00
6.171455383114181625e-01	2.801915863584556465e-01	-4.712404791660086190e+00
6.540442897173430747e-01	2.102449350839707964e-02	-4.420073644498161869e+00
9.782728990894100640e-01	1.718599396898545795e-02	-7.715751655823469335e+00
7.178008743993414820e-01	-4.940747889090836287e-01	-8.010582148603605290e+00
3.324544731534235797e-01	4.143858423809451130e-01	-4.411155223374216838e+00
6.161223589093278719e-01	-9.407961741406190015e-01	-5.591290681917663541e+00
3.131314651514944258e-01	-9.856798540155535804e-01	-4.033322825396528089e+00
4.061048035221968000e-01	-1.486966389692738977e+00	-3.628733852826265149e+00
2.079996473710421512e-01	-6.668507206601965720e-01	-4.830501714017643167e+00
3.677285606294609654e-01	-4.701627908880584017e-01	-6.894413254787132850e+00
2.710719736628022236e-01	-9.552965074220107766e-01	-5.704399776324305726e+00
1.999198004811634233e-01	-4.091009507406952461e-01	-4.296042362512699775e+00
7.612815751801726982e-01	-5.659332791712722299e-01	-5.996693942884593120e+00
5.515594302989657027e-01	-6.054561018279402962e-01	-5.315858834943814948e+00
4.742707601594241540e-01	-1.419155946538685154e+00	-3.346551004930267137e+00
3.600156265026144276e-02	-9.995133361419734630e-01	-1.584325469138443854e+00
3.983218778759688439e-01	2.978070019690590708e-01	-7.074311845723412873e+00
2.921084724555843559e-01	-1.644930526052190256e+00	-6.327292822921977589e+00
2.590874084209406902e-01	-8.343693477463609565e-01	-5.962993176567687570e+00
4.534688334543575672e-01	-3.599717200121335114e-01	-2.726596100132343992e+00
3.784473992558304856e-01	-7.798979503330608631e-01	-6.243867990462426576e+00
4.239101111082752560e-01	-1.745347770230698536e+00	-4.788808224790509271e+00
4.350857188868285097e-01	-1.437687462022472662e+00	-8.923833248779793337e+00
1.546155689050312532e-01	-1.027985185496010700e+00	-2.905874312528922587e+00
4.022597975350137300e-01	-1.277877125666704750e+00	-5.077690562872655633e+00
3.688588362027449552e-01	-1.430155031402734256e+00	-6.983382669770016093e+00
2.217999291864437561e-01	-9.551700900006899753e-01	-5.600208947435465490e+00
4.381439790273439217e-01	4.976446040328397213e-01	-3.720164613190156455e+00
4.493924771169462984e-01	-1.021701794633698368e+00	-3.111616718887531441e+00
1.679272565893034364e-01	-7.007314562553792481e-01	-3.168017294432647013e+00
4.823008098387196463e-01	-1.575528281661286112e+00	-5.545429922182407267e+00
2.832450320058044202e-01	-7.757232797526376622e-01	-4.088304858676480968e+00
3.670721826519398601e-01	2.807528270355974520e-01	-3.298108769616550084e+00
1.949105815787309792e-01	-1.236634517491778329e+00	-6.892403313593349345e-01
1.738920388045019361e-01	-2.675983657411560745e+00	-4.073512940272740579e+00
3.761105001014131144e-01	-1.704478716475384736e+00	-5.201891098220176701e+00
1.497176482427108324e-01	-1.237852376721610081e+00	-9.753707880273008168e-01
2.339059129017224958e-01	-5.821590682694428587e-01	-2.150365364228775888e+00
-8.696855710218442947e-03	-1.226169437712222754e+00	-4.807519629927775817e+00
4.511581108008788088e-01	-1.359335836335499703e+00	1.912221248406800633e+00
4.635782349996360185e-01	-6.165263465380649288e-01	-4.158856411447537482e+00
1.503941123495932120e-01	-9.617303971615382974e-01	-2.548748708338299807e+00
7.344669034627626658e-01	-1.536358829001857274e+00	-2.802275227234598542e+00
5.825688178759863556e-01	-1.184960090194240312e+00	-2.162892154646367082e+00
3.972526886919899858e-02	-1.497981257683631995e+00	-1.507048050073350076e+00
2.974419852404480702e-01	-1.198103873131369790e+00	6.938030065633369325e-01
3.559812444075798887e-01	-1.053429740150998661e+00	-1.866763792710000258e+00
4.093432228018105690e-01	-1.636778930761904061e+00	-4.138858840487316115e+00
2.486974755056183817e-01	-2.116567740907613793e+00	3.682233765786402380e-01
8.845201028498067553e-02	-1.789830519514033380e+00	-2.008419901619918235e+00
6.612129365805191616e-01	-1.054753217009442245e+00	-4.018686318680391167e+00
1.949513416351014994e-01	-2.090813762868267034e+00	-2.510299131050922838e+00
1.766601900167090733e-01	-7.219371104125473781e-01	-2.660793428441201591e-01
1.751573824162523385e-01	-1.356611766960710952e+00	-2.659500492045657083e+00
1.935983800151192258e-01	-2.018134169996433691e+00	-3.897978199464934956e+00
-8.550138638118889856e-02	-1.574690849183562946e+00	-1.566019069342655445e+00
2.046500387803464327e-01	-4.934752750761085549e-01	8.071089464789538148e-02
3.124537035157913811e-01	-9.712262415417043382e-01	-1.395984629342312155e+00
3.866720156855589785e-01	-2.021957088841132233e+00	-2.967877458055905304e+00
8.241364178837153054e-02	-8.632946226755832120e-01	-4.014233178684357028e+00
2.343939720544230554e-01	-1.702611411658331297e+00	-1.406095336578242261e+00
3.290373097982056683e-01	-1.512380234634863596e+00	-2.638819826529652524e+00
-1.879120667638777553e-01	-5.348185930502287189e-01	-2.793160651461455979e-01
-2.237249668168729000e-01	-2.205358436725002313e+00	-5.517260189344774801e-01
2.824747087268636436e-01	-2.319593251383267329e+00	-1.126411653281713887e+00
1.508279826052495720e-01	-1.210777367181560260e+00	-1.045716817996053649e+00
3.090961983197307306e-01	-1.903037486192300065e+00	1.120952217378925031e+00
-4.147353511514131896e-02	-2.406020516785745578e+00	-1.213823502770741136e+00
1.367608303297682959e-01	-1.759214238087421389e+00	1.030116427017597758e+00
2.452120783509068036e-02	-2.368865227451368405e+00	-3.774400693432223286e-01
1.645044856103546060e-01	-2.617767156117696725e+00	-8.476211676460991828e-01
1.032878120779108511e-02	-1.241394687134314001e+00	2.212373948058528494e+00
9.245349792697560298e-02	-2.163550596306314411e+00	-2.621545061047946046e+00
