angle	angular_velocity	angular_acceleration
5.000000000000000000e-01	5.000000000000000000e-01	-4.705302175437542367e+00
5.024389781388711729e-01	4.764524952114866929e-01	-4.724141701548035144e+00
5.047600687832355382e-01	4.528027493337683507e-01	-4.744083994073776012e+00
5.069627725072033408e-01	4.290559774651929725e-01	-4.762986202924622603e+00
5.090466176178062296e-01	4.052173801104558271e-01	-4.780847183162563852e+00
5.110111583916469025e-01	3.812921596053374662e-01	-4.797666582619285691e+00
5.128559750986630972e-01	3.572855199893263389e-01	-4.813444090511779905e+00
5.145806740082909947e-01	3.332026666419389271e-01	-4.828179477403836017e+00
5.161848873964729467e-01	3.090488059816408062e-01	-4.841872530049471379e+00
5.176682735393842716e-01	2.848291454603811834e-01	-4.854523109342522957e+00
5.190305167417886834e-01	2.605488928020711081e-01	-4.866131196234420031e+00
5.202713273419831141e-01	2.362132557521764153e-01	-4.876696814844947880e+00
5.213904417000877478e-01	2.118274423106133453e-01	-4.886219686543086027e+00
5.223876221387964147e-01	1.873966623022458311e-01	-4.894699708361557100e+00
5.232626570350383810e-01	1.629261247266778623e-01	-4.902137035554403610e+00
5.240153608008609742e-01	1.384210382063418843e-01	-4.908531740559723744e+00
5.246455738699392635e-01	1.138866114229673543e-01	-4.913883612217055941e+00
5.251531626674270647e-01	8.932805424554431106e-02	-4.918192645649305916e+00
5.255380196599001019e-01	6.475057575014467326e-02	-4.921458960070022925e+00
5.258000633417982961e-01	4.015938470401970994e-02	-4.923682614839595573e+00
5.259392382280924094e-01	1.555968992730197287e-02	-4.924863461604449100e+00
5.259555148427802473e-01	-9.043299088428657928e-03	-4.925001528910447846e+00
5.258488897396238482e-01	-3.364437335022946174e-02	-4.924096874785178102e+00
5.256193854952340150e-01	-5.823832399974666202e-02	-4.922149511006054468e+00
5.252670507074828077e-01	-8.281994208931994783e-02	-4.919159394508639593e+00
5.247919599945448654e-01	-1.073840183851093588e-01	-4.915126496266978506e+00
5.241942139969282266e-01	-1.319253437863414369e-01	-4.910050845449710266e+00
5.234739393770843074e-01	-1.564387092056231388e-01	-4.903932440046858687e+00
5.226312888159035941e-01	-1.809189059185346837e-01	-4.896771443656177780e+00
5.216664410131933716e-01	-2.053607255045710178e-01	-4.888567759349029984e+00
5.205796006933873787e-01	-2.297589591414281596e-01	-4.879321373356788172e+00
5.193709986022448932e-01	-2.541083980129754116e-01	-4.869032287423465277e+00
5.180408915068306364e-01	-2.784038333117941910e-01	-4.857700503293131078e+00
5.165895621955139960e-01	-3.026400562391781679e-01	-4.845326022709798508e+00
5.150173194779699148e-01	-3.268118580051337929e-01	-4.831908847417537345e+00
5.133244981851782240e-01	-3.509140298283792703e-01	-4.817448979160360523e+00
5.115114591618080686e-01	-3.749413635715410642e-01	-4.801947076463051189e+00
5.095785891955014746e-01	-3.988886576392707273e-01	-4.785404060086875688e+00
5.075263011117150391e-01	-4.227507090679411550e-01	-4.767819360259409223e+00
5.053550337620963395e-01	-4.465223144951298018e-01	-4.749193125703840224e+00
5.030652520107948833e-01	-4.701982713013615478e-01	-4.729525505143243436e+00
5.006574467344623303e-01	-4.937733776101076999e-01	-4.708816724282115729e+00
4.981321346720657406e-01	-5.172424379000711836e-01	-4.687069248428599622e+00
4.954898584247466320e-01	-5.406002630104658202e-01	-4.664282579027542397e+00
4.927311866674192742e-01	-5.638416622338372486e-01	-4.640457062996176774e+00
4.898567140460349800e-01	-5.869614471551648505e-01	-4.615593159757281683e+00
4.868670610683951128e-01	-6.099544347914908071e-01	-4.589693284859095002e+00
4.837628738522700145e-01	-6.328154548332470819e-01	-4.562758355430787560e+00
4.805448245928370943e-01	-6.555393362058788975e-01	-4.534788595598115535e+00
4.772136114096988679e-01	-6.781209114679177530e-01	-4.505784829303365768e+00
4.737699582633858597e-01	-7.005550188986741089e-01	-4.475749526954587054e+00
4.702146143230336306e-01	-7.228365177118136753e-01	-4.444686113100033253e+00
4.665483547180596102e-01	-7.449602699701486364e-01	-4.412594365769280103e+00
4.627719804755647259e-01	-7.669211420917477762e-01	-4.379475671052830421e+00
4.588863184057682121e-01	-7.887140075769155656e-01	-4.345331951148125427e+00
4.548922203778411610e-01	-8.103337616955001987e-01	-4.310169269349898968e+00
4.507905636252228510e-01	-8.317753152945619455e-01	-4.273987984283451169e+00
4.465822512001617617e-01	-8.530335855795290190e-01	-4.236790375898408456e+00
4.422682114855607804e-01	-8.741035049954313241e-01	-4.198581075450931621e+00
4.378493976195280690e-01	-8.949800304008792562e-01	-4.159363256062363234e+00
4.333267884108931711e-01	-9.156581284726400538e-01	-4.119139235245654618e+00
4.287013880163656476e-01	-9.361327808277776219e-01	-4.077913102045499727e+00
4.239742248395265145e-01	-9.563990010560441402e-01	-4.035691710532034904e+00
4.191463523733397478e-01	-9.764518216974461540e-01	-3.992477132225474179e+00
4.142188494201968774e-01	-9.962862908410841101e-01	-3.948273215352173793e+00
4.091928191753974597e-01	-1.015897484974976228e+00	-3.903088523819178590e+00
4.040693885925473183e-01	-1.035280517576623982e+00	-3.856926907982256125e+00
3.988497099298193294e-01	-1.054430518181370235e+00	-3.809792702431309408e+00
3.935349602280181491e-01	-1.073342639528877873e+00	-3.761694186963836728e+00
3.881263382862033540e-01	-1.092012094485994789e+00	-3.712636970197536357e+00
3.826250689493073676e-01	-1.110434103725216559e+00	-3.662627773475833237e+00
3.770324006980492193e-01	-1.128603925134188168e+00	-3.611672335572279735e+00
3.713496050705794582e-01	-1.146516859195180871e+00	-3.559782137471984242e+00
3.655779764029699064e-01	-1.164168251992988345e+00	-3.506962976002341748e+00
3.597188329838484910e-01	-1.181553482759254647e+00	-3.453223064930057262e+00
3.537735161460134337e-01	-1.198667973975751311e+00	-3.398571340061835144e+00
3.477433898084156261e-01	-1.215507193487038062e+00	-3.343017007885578096e+00
3.416298401856033840e-01	-1.232066657253175990e+00	-3.286570194921182519e+00
3.354342757633104743e-01	-1.248341933119655467e+00	-3.229241496686881874e+00
3.291581269176081515e-01	-1.264328643225007376e+00	-3.171041965356607761e+00
3.228028459290236407e-01	-1.280022459589120976e+00	-3.111980247915766995e+00
3.163699067989274027e-01	-1.295419104756971640e+00	-3.052068716067310561e+00
3.098608046372798852e-01	-1.310514363401538818e+00	-2.991319303730278989e+00
3.032770555848333105e-01	-1.325304080262153184e+00	-2.929744253459830361e+00
2.966201962156496119e-01	-1.339784162690246916e+00	-2.867356410835441238e+00
2.898917831470029238e-01	-1.353950582958725724e+00	-2.804168868607462173e+00
2.830933932729234326e-01	-1.367799379855852537e+00	-2.740195202329346102e+00
2.762266232649503439e-01	-1.381326661119842703e+00	-2.675449437131305785e+00
2.692930888574592840e-01	-1.394528606099823875e+00	-2.609946248946926062e+00
2.622944243357007155e-01	-1.407401468193865357e+00	-2.543700533768856076e+00
2.552322829002424132e-01	-1.419941576323276777e+00	-2.476727684915886130e+00
2.481083360523075876e-01	-1.432145337483572645e+00	-2.409043554987988500e+00
2.409242728636317721e-01	-1.444009238995972000e+00	-2.340664452074747715e+00
2.336817993839944430e-01	-1.455529850751153154e+00	-2.271607122174373217e+00
2.263826389698218033e-01	-1.466703827409568284e+00	-2.201888760151859969e+00
2.190285316279253491e-01	-1.477527910648205101e+00	-2.131527004158101590e+00
2.116212330825025800e-01	-1.487998930601913461e+00	-2.060539571268009240e+00
2.041625141705251389e-01	-1.498113807764139160e+00	-1.988945070749537081e+00
1.966541615394332143e-01	-1.507869556721712856e+00	-1.916762446818665921e+00
1.890979767455834293e-01	-1.517263287637403701e+00	-1.844011050195376811e+00
1.814957758541050070e-01	-1.526292208438608133e+00	-1.770710671206302322e+00
1.738493888859700132e-01	-1.534953626639134816e+00	-1.696881070105519029e+00
1.661606571232242535e-01	-1.543244946087907410e+00	-1.622541829351121123e+00
1.584314351088007555e-01	-1.551163674837082729e+00	-1.547714446591385240e+00
1.506635902258077475e-01	-1.558707427276996738e+00	-1.472420177095386862e+00
1.428590017421977054e-01	-1.565873925004837686e+00	-1.396680686929698822e+00
1.350195603550945200e-01	-1.572660998876789673e+00	-1.320518052959073430e+00
1.271471669442841845e-01	-1.579066587294485124e+00	-1.243952627222938645e+00
1.192437309344615975e-01	-1.585088732628491259e+00	-1.167007204692822597e+00
1.113111724024346549e-01	-1.590725595473986509e+00	-1.089705070813579368e+00
1.033514205547951953e-01	-1.595975451623856012e+00	-1.012069409579908097e+00
9.536641316007340996e-02	-1.600836693586706660e+00	-9.341237653029565990e-01
8.735809599972427231e-02	-1.605307832074928109e+00	-8.558913845894267070e-01
7.932842074122711806e-02	-1.609387485304667686e+00	-7.773932216662160499e-01
7.127934567775037755e-02	-1.613074390438032246e+00	-6.986551003436716201e-01
6.321283572235371351e-02	-1.616367409267104538e+00	-6.197012966340480489e-01
5.513086132513397852e-02	-1.619265525578455822e+00	-5.405563762519705051e-01
4.703539791893222161e-02	-1.621767846600421947e+00	-4.612451946276223680e-01
3.892842508905028365e-02	-1.623873601011092793e+00	-3.817905158908843077e-01
3.081192503962500856e-02	-1.625582128181523700e+00	-3.022162896701274803e-01
2.268788337752791068e-02	-1.626892896299048763e+00	-2.225481678469805047e-01
1.455828812492050359e-02	-1.627805498416799779e+00	-1.428110460487914679e-01
6.425129041688123349e-03	-1.628319652346800650e+00	-6.302985614911449375e-02
-1.709602999524932609e-03	-1.628435196836226950e+00	1.677179476837409311e-02
-9.843916612294452417e-03	-1.628152093602437178e+00	9.656821362216305715e-02
-1.797582048563082027e-02	-1.627470431569768783e+00	1.763342650714321280e-01
-2.610332399852702961e-02	-1.626390425394290018e+00	2.560447240181247253e-01
-3.422443787566193524e-02	-1.624912414209641387e+00	3.356757440567434969e-01
-4.233717508312253436e-02	-1.623036851692961857e+00	4.152034847899130909e-01
-5.043955109226191252e-02	-1.620764318981199548e+00	4.946022663582425594e-01
-5.852958456738124177e-02	-1.618095522260522223e+00	5.738472756985402157e-01
-6.660529801600809097e-02	-1.615031291708302508e+00	6.529137638266320209e-01
-7.466471833851795470e-02	-1.611572575446148958e+00	7.317794866753501992e-01
-8.270587743232515887e-02	-1.607720438311421862e+00	8.104192681352060390e-01
-9.072681290206248417e-02	-1.603476069987506136e+00	8.888088223985732839e-01
-9.872556862890757845e-02	-1.598840780696797026e+00	9.669240558955607412e-01
-1.067001953557042138e-01	-1.593815999859280685e+00	1.044741946712974823e+00
-1.146487510229447782e-01	-1.588403266269762915e+00	1.122240299766758653e+00
-1.225693016638484401e-01	-1.582604237313138817e+00	1.199394992937641291e+00
-1.304599219841068303e-01	-1.576420687442158242e+00	1.276182953980651291e+00
-1.383186959218031531e-01	-1.569854505980017967e+00	1.352581759321651589e+00
-1.461437169837720429e-01	-1.562907691713398606e+00	1.428569295652891924e+00
-1.539330887114333246e-01	-1.555582349745984638e+00	1.504124679334495340e+00
-1.616849256470266061e-01	-1.547880697088470647e+00	1.579225149335456990e+00
-1.693973538358791442e-01	-1.539805060148182969e+00	1.653849167769180895e+00
-1.770685112998006683e-01	-1.531357871973242579e+00	1.727976001231240843e+00
-1.846965479338600058e-01	-1.522541663558887759e+00	1.801586212526103736e+00
-1.922796266795432918e-01	-1.513359069271585033e+00	1.874658624458447775e+00
-1.998159241070954217e-01	-1.503812825692593558e+00	1.947173286115116753e+00
-2.073036307879349560e-01	-1.493905768103214626e+00	2.019110637533458430e+00
-2.147409518049197275e-01	-1.483640828466947115e+00	2.090451535664783478e+00
-2.221261070235733825e-01	-1.473021032881877801e+00	2.161177505961973111e+00
-2.294573312256404374e-01	-1.462049498679514725e+00	2.231270350744239295e+00
-2.367328752539142600e-01	-1.450729433167235571e+00	2.300712370218775504e+00
-2.439510061798901841e-01	-1.439064130557895060e+00	2.369486442789479952e+00
-2.511100077112304318e-01	-1.427056969202039616e+00	2.437576009567123947e+00
-2.582081806099137400e-01	-1.414711409141863996e+00	2.504964360956819291e+00
-2.652438433321090971e-01	-1.402031001048220427e+00	2.571633151899277436e+00
-2.722153322359763816e-01	-1.389019374347607361e+00	2.637568278243975328e+00
-2.791210019155626054e-01	-1.375680232023441141e+00	2.702754632903634047e+00
-2.859592256440157132e-01	-1.362017351265379483e+00	2.767177616053118072e+00
-2.927283957420504512e-01	-1.348034580903398005e+00	2.830823147899081960e+00
-2.994269239486545553e-01	-1.333735840812641404e+00	2.893676428566323011e+00
-3.060532417981721709e-01	-1.319125123937276323e+00	2.955724042011638630e+00
-3.126058009087709921e-01	-1.304206486049486635e+00	3.016953400108945971e+00
-3.190830733279826914e-01	-1.288984046070569933e+00	3.077352048926400130e+00
-3.254835518521767002e-01	-1.273461983927927088e+00	3.136908018992698999e+00
-3.318057503319649659e-01	-1.257644538184234495e+00	3.195609678656751385e+00
-3.380482038711131176e-01	-1.241536006871515996e+00	3.253445095291908729e+00
-3.442094691690723018e-01	-1.225140743105931573e+00	3.310403991732869144e+00
-3.502881248302952555e-01	-1.208463151439401972e+00	3.366476083449924772e+00
-3.562827715894170688e-01	-1.191507686663120680e+00	3.421651542016888925e+00
-3.621920325574088384e-01	-1.174278851522717604e+00	3.475920997067191820e+00
-3.680145534609679525e-01	-1.156781195219475089e+00	3.529274999220319842e+00
-3.737490028808322373e-01	-1.139019313728933058e+00	3.581704801133582805e+00
-3.793940724441491330e-01	-1.120997843801866178e+00	3.633202383050729622e+00
-3.849484770336873973e-01	-1.102721462031202249e+00	3.683759939391279659e+00
-3.904109549806665247e-01	-1.084194882961292627e+00	3.733370081114230743e+00
-3.957802682433167463e-01	-1.065422856948532004e+00	3.782025788282226131e+00
-4.010552026685583749e-01	-1.046410170832036135e+00	3.829719626570181390e+00
-4.062345680963130312e-01	-1.027161644264949603e+00	3.876445717488081755e+00
-4.113171984827392880e-01	-1.007682126947365919e+00	3.922198040365969973e+00
-4.163019520682366692e-01	-9.879764975291575047e-01	3.966970979381585494e+00
-4.211877115108770275e-01	-9.680496618240499451e-01	4.010759274319752876e+00
-4.259733840458430065e-01	-9.479065515215080451e-01	4.053557656270925236e+00
-4.306579017603280879e-01	-9.275521245617105448e-01	4.095361297721353822e+00
-4.352402214730344276e-01	-9.069913605300768955e-01	4.136166004375013472e+00
-4.397193249003969462e-01	-8.862292599459395959e-01	4.175967690857305570e+00
-4.440942187685253950e-01	-8.652708430112797666e-01	4.214762560356632548e+00
-4.483639348998486596e-01	-8.441211481981837350e-01	4.252547092877478008e+00
-4.525275302914003039e-01	-8.227852308970199369e-01	4.289318031838320167e+00
-4.565840873053838012e-01	-8.012681626588838979e-01	4.325072101583486983e+00
-4.605327138335770787e-01	-7.795750304270292474e-01	4.359806550073869857e+00
-4.643725430847675528e-01	-7.577109342184467078e-01	4.393518784052616866e+00
-4.681027337735898519e-01	-7.356809866804066012e-01	4.426206365418693167e+00
-4.717224701831955747e-01	-7.134903122061370118e-01	4.457867026218423234e+00
-4.752309622201594808e-01	-6.911440461333684393e-01	4.488498649055316037e+00
-4.786274454647346244e-01	-6.686473339919069003e-01	4.518099410792729032e+00
-4.819111812102991332e-01	-6.460053266805213523e-01	4.546668721500736865e+00
-4.850814565090956765e-01	-6.232231822916546315e-01	4.574204431445537011e+00
-4.881375842136670418e-01	-6.003060676332725443e-01	4.600705187076243874e+00
-4.910789030087983065e-01	-5.772591559461094368e-01	4.626169758137109511e+00
-4.939047774429471960e-01	-5.540876263550277292e-01	4.650597016214419455e+00
-4.966145979568704072e-01	-5.307966634008592921e-01	4.673985918403388951e+00
-4.992077809019137558e-01	-5.073914562242050064e-01	4.696335926638397495e+00
-5.016837684911523709e-01	-4.838771942626007294e-01	4.717646817028452233e+00
-5.040420289017351063e-01	-4.602590714535437777e-01	4.737917551969900387e+00
