angle	angular_velocity	angular_acceleration
5.783761034471487372e-01	9.503965508115844729e-01	-1.435135998387040868e+00
4.654947069772749635e-01	4.967470645013735697e-01	-2.692284786978472955e+00
4.316377854520271895e-01	1.207509129103240042e+00	-5.364996351132507613e+00
4.182399018346708020e-01	1.150971437083635251e+00	-4.973017648211165209e+00
7.403100894431886569e-01	8.074869629493832690e-01	-5.296170203672091681e+00
5.285135394150631827e-01	1.393631313429222196e-01	-3.396671638462433584e+00
4.179132008712129198e-01	4.176336391881509957e-01	-7.873752169605841011e+00
3.219447935469592625e-01	3.919236560324883545e-01	-3.533909113338240537e+00
6.327069005404664104e-01	-5.565815922926478088e-01	-4.176379080214743134e+00
4.040846685606497291e-01	4.966286260407141162e-01	-7.441824093401078422e+00
5.701674504427187706e-01	3.288562718236979765e-01	-3.767106761614875232e+00
6.672172247190477634e-01	2.105780336887448645e-01	-3.638779365826113832e+00
4.457819465386426705e-01	-3.567925236069330319e-03	-4.480059297586586275e+00
7.363875819426938252e-01	3.575783712003979820e-02	-5.799533796939333463e+00
5.802869620421716723e-01	1.066059453378574995e+00	-4.821406074229367178e+00
6.537026574399128487e-01	2.242434832925793708e-01	-3.341531494522409051e+00
4.899837336521632447e-01	-1.005061891542457231e-01	-7.735333610316171615e+00
4.459813458087521498e-01	8.705528862149770619e-01	-5.684785641056275374e+00
5.408558035482236015e-01	7.514561279731275523e-01	-7.302906385356322971e+00
2.948732852826728146e-01	-2.267087327009377762e-01	-5.238562813492956494e+00
3.026090934707669211e-01	-3.246846914608139123e-01	-6.147854561023599729e+00
5.897103556493581422e-01	5.125104806936196800e-02	-2.831239445530664867e+00
2.230876127556597477e-01	1.189238211182598759e+00	-3.452437225966246359e+00
5.732002839932430760e-01	-1.203794491117197163e-01	-5.192092390674157620e+00
6.500833083792131317e-01	7.563371380006411737e-02	-4.661611102275855956e+00
8.704220888807443490e-01	-3.396983946380111030e-01	-2.791119960724083526e+00
2.795163509882585551e-01	-2.192168938263847622e-01	-5.567503981254397161e+00
7.680367699860251030e-01	3.897091051154196184e-01	-3.258680464291883183e+00
5.585219983045293102e-01	-1.642087811148681964e-01	-4.385331818658863234e+00
6.450296065366442066e-01	3.103809891635845308e-01	-5.940623287072863690e+00
5.601046543534460298e-01	-9.592317917237477287e-01	-4.492643180009484816e+00
4.066540963407829223e-01	-9.309280392137742055e-03	-5.221043416077103316e+00
3.642467003192710884e-01	5.862575033318107032e-01	-7.022772734309475240e+00
5.817219133364192052e-01	-4.006257417100025364e-01	-3.711734978186893130e+00
3.746615946986018297e-01	-1.020228273038035205e+00	-5.406028345845920846e+00
6.438450390297831838e-01	1.072725139619252532e+00	-5.222357877639648649e+00
6.102349774562915163e-01	-7.834503296430099795e-01	-5.373921253004859011e+00
6.222401194680475811e-01	-1.225581926391995924e-01	-3.369886150475902120e+00
4.370710868567024843e-01	-2.802295802746395115e-01	-4.236257721365189965e+00
5.661539351634998773e-01	1.380697904318052283e-01	-5.965051047696139364e+00
5.595202150851109613e-01	-6.221181643083278923e-01	-2.568605111249058659e+00
3.526788318749581319e-01	-9.652302061244537601e-01	-4.407025611861599579e+00
5.882124624658892076e-01	1.257533061912106120e-01	-4.827730963582561152e+00
6.152469657629725530e-01	-8.884293832003609115e-02	-4.608661178022386729e+00
8.579591918825825170e-01	-9.710260365136114125e-02	-7.068422739116344999e+00
6.616813019289145004e-01	-5.154332011628102173e-01	-7.287134080945083525e+00
3.716231318693143382e-01	2.135668773354469918e-01	-4.597688649295698760e+00
5.837884168514207994e-01	-8.867717058434378963e-01	-5.476797538932913767e+00
3.554936517948528718e-01	-9.282059768109482967e-01	-4.311041927133577367e+00
4.244329461024303196e-01	-1.338474949612739051e+00	-4.006175157113651686e+00
2.748161522550061076e-01	-6.808633686041848376e-01	-4.900433900098514428e+00
3.938077321000879594e-01	-5.270630553016795172e-01	-6.438117189281605590e+00
3.202887845240223186e-01	-9.242630111177713159e-01	-5.545766732248696762e+00
2.658853341893295807e-01	-4.879974977680183179e-01	-4.490036468433518557e+00
6.863036040108829727e-01	-6.198669864215835545e-01	-5.755448713172917508e+00
5.278071342827120871e-01	-6.569232873824291108e-01	-5.242271285744164899e+00
4.687023689171012641e-01	-1.319610125312836280e+00	-3.766650837436523958e+00
1.385639787475291262e-01	-9.855709701578442283e-01	-2.445308681236388004e+00
4.094287787358232844e-01	5.776906248032964708e-02	-6.538821199749881963e+00
3.285157823229998275e-01	-1.517291885341872426e+00	-5.974833721902633954e+00
3.025203712002902945e-01	-8.672862802698998452e-01	-5.696271006929717551e+00
4.472143759705953792e-01	-4.889280166551158158e-01	-3.272768395378149897e+00
3.896264930521244341e-01	-8.332867912068335770e-01	-5.891856647400565805e+00
4.224605306680730421e-01	-1.618481954513796506e+00	-4.797767204487316306e+00
4.295237601825310225e-01	-1.374802896669889085e+00	-7.877418901291374453e+00
2.176070313670736833e-01	-1.048634116680521755e+00	-3.375516680692762783e+00
4.021369807283369235e-01	-1.255482118307188921e+00	-4.988537247281334075e+00
3.756456508640455549e-01	-1.383415747531618223e+00	-6.402486363558935523e+00
2.637975038084647839e-01	-1.004403519539855516e+00	-5.360292713925757901e+00
4.247413004027251193e-01	1.648629240615440139e-01	-3.946730551764467076e+00
4.316829091096607840e-01	-1.067757099147056188e+00	-3.482234050188577346e+00
2.188441455108041112e-01	-8.131103214116063294e-01	-3.513891674661683950e+00
4.532968495336574533e-01	-1.524773440415645887e+00	-5.278286435805444654e+00
3.022697396253337110e-01	-8.830873765749509552e-01	-4.179088589622404371e+00
3.635862725194058398e-01	-3.393590604214580253e-02	-3.577526350597494798e+00
2.326943972921740045e-01	-1.264783243553706082e+00	-1.617611651224105884e+00
2.152443950231744674e-01	-2.432522307014837182e+00	-4.132400745918360485e+00
3.653603477526005672e-01	-1.651911724174992546e+00	-4.962367079933937219e+00
1.936741894175471879e-01	-1.279267660616803637e+00	-1.793494776553262726e+00
2.551273000903117039e-01	-7.537839956281894294e-01	-2.657565502694356319e+00
7.121946267512124784e-02	-1.278593027654721936e+00	-4.628008880217730159e+00
4.146488675126021040e-01	-1.390518787228368414e+00	4.035929589778590731e-01
4.221459105910932985e-01	-7.944823452601288416e-01	-4.115320078880556842e+00
1.851740020231042450e-01	-1.077658909350285299e+00	-2.898371937778133844e+00
6.217838573674493441e-01	-1.546187444493764218e+00	-3.072649705904467510e+00
5.058469917592324228e-01	-1.266300799595420745e+00	-2.579852862885402054e+00
9.638803963804337682e-02	-1.523300000389167907e+00	-2.074426384779118226e+00
2.879179756048598771e-01	-1.284932503730745745e+00	-4.150133672201774537e-01
3.298944491651090161e-01	-1.171929952236787198e+00	-2.310602530351794304e+00
3.679614858531363164e-01	-1.647209185972339673e+00	-3.990460887670423951e+00
2.453422014880767277e-01	-2.038733388157932147e+00	-6.080032492878542083e-01
1.230016066686131504e-01	-1.778407037760638243e+00	-2.365277674632503491e+00
5.509365793967730962e-01	-1.188018339999138862e+00	-3.848660108537690583e+00
1.988151943422426515e-01	-2.028887289876259992e+00	-2.704359682846326773e+00
1.829824657744678063e-01	-9.261627478924753243e-01	-1.010303617985827795e+00
1.797333469024409158e-01	-1.442515440981833486e+00	-2.778851321305226829e+00
1.914372251942072223e-01	-1.980492452201362497e+00	-3.684703181211551826e+00
-2.025368817794614973e-02	-1.625429636487196738e+00	-1.924222887307558860e+00
1.953961652516486014e-01	-7.548829690661574832e-01	-6.751069830720595188e-01
2.741321338689080012e-01	-1.144121722569186428e+00	-1.757953742759092330e+00
3.276365428036726035e-01	-1.996330164319106704e+00	-2.911600760764716078e+00
9.698628917717137810e-02	-1.062962303556214572e+00	-3.672552492965136750e+00
2.088358094755446148e-01	-1.744159329979935613e+00	-1.704432084259786873e+00
2.776239737136934616e-01	-1.593256725315193245e+00	-2.604003357157943288e+00
-1.127504482411536835e-01	-8.059987018250406310e-01	-8.210089106505973344e-01
-1.419318087753163316e-01	-2.158691092204846562e+00	-1.003000825306702204e+00
2.357825209155774426e-01	-2.253587227668762960e+00	-1.410452402130342175e+00
1.346261629499982682e-01	-1.360001816968287036e+00	-1.328289423475015996e+00
2.511068780344851148e-01	-1.921848884460642282e+00	3.117010206616910306e-01
-1.443025171576170496e-02	-2.330645074413276507e+00	-1.409293502284421074e+00
1.170143494230393710e-01	-1.810161786696026898e+00	2.888457648819251489e-01
3.037669722664748662e-02	-2.304980023101346198e+00	-7.393602034541117973e-01
1.330814240402328763e-01	-2.508171023067191641e+00	-1.067422750866245940e+00
1.493855494763528247e-02	-1.397821359326796298e+00	1.240689596813372653e+00
7.418556605407307381e-02	-2.144908679770143323e+00	-2.345363786378448445e+00
-2.856803227750369656e-01	-2.235474175181367151e+00	-2.161494456389741803e+00
1.085419213672875471e-01	-1.755737402319783369e+00	-2.769913065413656561e+00
8.620191296918305879e-02	-1.377446113722669008e+00	-8.664459325905983222e-01
5.022080074943023609e-02	-1.043102255624113628e+00	-4.916435382458205217e-01
-4.966312845754796562e-02	-2.531191915895555589e+00	-1.010023026379347932e+00
1.421324729202954329e-01	-1.726220633715018105e+00	-6.510278157286716327e-01
3.106963020359114203e-01	-1.483972046124853783e+00	4.677385275329819514e-01
1.096769290231297822e-01	-1.834055763559578889e+00	1.961213860030101230e+00
1.868009732339747167e-02	-1.767931767553436284e+00	6.320063075755926185e-01
-1.345722081593027364e-01	-1.034611532442566872e+00	-2.154392540432094272e+00
-9.864010697087738366e-02	-2.172291099097011902e+00	1.018201536235611382e+00
-2.931558774540941048e-01	-1.492720612000971725e+00	2.387485293799825214e+00
-2.953428636705933696e-01	-1.514361123390596475e+00	-2.045643696008752954e+00
-9.532035699567349696e-02	-1.730227060181045218e+00	2.147045555619558677e+00
-9.347237104602659774e-02	-9.101739556608963166e-01	2.624300746538365647e+00
2.332156239960546940e-01	-9.320403618968973181e-01	3.383184400676395143e+00
-5.726127171403814359e-02	-1.618780326779115430e+00	2.013348624792737684e+00
-1.651823581568614974e-01	-1.230665086044853584e+00	-1.951603378747246431e-02
-6.591234238824707214e-02	-1.857014623527908359e+00	-1.415912876764124029e+00
1.058919090713092842e-01	-2.010168557668469358e+00	1.038859996052379664e+00
-2.214566017592689839e-01	-2.014190626257985617e+00	-8.337480553198952649e-01
7.171825410112062094e-03	-1.843302070487353062e+00	2.914100772803476680e+00
-2.145335563425915248e-03	-2.114531339923336972e+00	-1.435803100483770578e+00
-1.795258457479004810e-01	-1.855318266979653075e+00	-2.408016479406542398e+00
