theta1	omega1	alpha1	theta2	omega2	alpha2
3.141592653589793116e+00	0.000000000000000000e+00	-2.161430273964186100e-05	1.570796326794896558e+00	0.000000000000000000e+00	-9.810000000143849874e+00
3.141592651012254045e+00	-2.015772938555104015e-06	-1.217898823132973702e-03	1.570673812082607146e+00	-4.902793765171994944e-02	-9.810000239511634135e+00
3.141592613348796803e+00	-1.603140439596310643e-05	-4.823570224561312368e-03	1.570306267934899136e+00	-9.805588196833520120e-02	-9.810003615912712860e+00
3.141592448419342265e+00	-5.407441843443958122e-05	-1.083323066279187619e-02	1.569693694231300007e+00	-1.470838686018559605e-01	-9.810019801156016683e+00
3.141592004612339561e+00	-1.281598524233778732e-04	-1.924706748383250149e-02	1.568836090541557482e+00	-1.961119857375556996e-01	-9.810057839068662133e+00
3.141591073276766011e+00	-2.503043969900861708e-04	-3.006555583721993996e-02	1.567733455786375130e+00	-2.451404007292599663e-01	-9.810140444386519221e+00
3.141589388801548033e+00	-4.325268563281011195e-04	-4.328925678154396661e-02	1.566385787936568574e+00	-2.941693759862021307e-01	-9.810290946435316073e+00
3.141586619161932159e+00	-6.868494186515001956e-04	-5.891873728139096489e-02	1.564793083243787297e+00	-3.431993145675613643e-01	-9.810531753298619151e+00
3.141582375288876072e+00	-1.025298431881717463e-03	-7.695514980383533210e-02	1.562955335612954411e+00	-3.922307731305144651e-01	-9.810904603972431914e+00
3.141576204224482805e+00	-1.459905947918879949e-03	-9.739965305061282219e-02	1.560872535575394959e+00	-4.412644995670956249e-01	-9.811445404201265319e+00
3.141567593045876183e+00	-2.002711229967473784e-03	-1.202539015561903124e-01	1.558544669264286142e+00	-4.903014538050972648e-01	-9.812201059435409434e+00
3.141555978645441893e+00	-2.665760647140090304e-03	-1.455195785712226630e-01	1.555971718470534171e+00	-5.393427879392796997e-01	-9.813214117633378919e+00
3.141540727347999162e+00	-3.461112929227710099e-03	-1.731992714103063324e-01	1.553153657463728354e+00	-5.883899531233337532e-01	-9.814543195444912271e+00
3.141521145295087525e+00	-4.400839520083152032e-03	-2.032958605115045003e-01	1.550090452868689850e+00	-6.374446784577953995e-01	-9.816249020223494881e+00
3.141496480932620461e+00	-5.497027801987236853e-03	-2.358127641043177292e-01	1.546782061884627746e+00	-6.865089915953208610e-01	-9.818393086731930453e+00
3.141465920400976497e+00	-6.761784189647629048e-03	-2.707542070559907366e-01	1.543228430699721265e+00	-7.355852537364619970e-01	-9.821042483744179208e+00
3.141428592455014268e+00	-8.207236898899759880e-03	-3.081249228531985906e-01	1.539429493233572588e+00	-7.846761640539835492e-01	-9.824269442042918854e+00
3.141383563651535038e+00	-9.845541177288294477e-03	-3.479306763199483399e-01	1.535385168664607836e+00	-8.337848031937041826e-01	-9.828151398602813060e+00
3.141329839715293115e+00	-1.168888333807385771e-02	-3.901780884651353531e-01	1.531095359728979588e+00	-8.829146471743993807e-01	-9.832769380805643777e+00
3.141266365396263804e+00	-1.374948491561688024e-02	-4.348752732899345830e-01	1.526559951000511450e+00	-9.320695853259330921e-01	-9.838210214343575899e+00
3.141192024185585741e+00	-1.603961063484241056e-02	-4.820304053107218323e-01	1.521778805710291005e+00	-9.812539514457797596e-01	-9.844561149817423029e+00
3.141105638400130129e+00	-1.857156622185231892e-02	-5.316528544440597415e-01	1.516751766547637992e+00	-1.030472517342009287e+00	-9.851913743909733512e+00
3.141005968553641559e+00	-2.135771438949225429e-02	-5.837553740484988651e-01	1.511478650025213533e+00	-1.079730537679347124e+00	-9.860368387038647597e+00
3.140891713167840660e+00	-2.441048071692817484e-02	-6.383506196971726609e-01	1.505959243894351207e+00	-1.129033779255749437e+00	-9.870029896717142037e+00
3.140761508551329850e+00	-2.774235828721451774e-02	-6.954526992645480021e-01	1.500193305657158138e+00	-1.178388530354257613e+00	-9.880998323419134977e+00
3.140613928363795271e+00	-3.136591393006887829e-02	-7.550773884858958951e-01	1.494180561818833741e+00	-1.227801582035487726e+00	-9.893381660762429419e+00
3.140447483385875760e+00	-3.529379813001101013e-02	-8.172424024071531790e-01	1.487920702980823684e+00	-1.277280291669401935e+00	-9.907293546925188821e+00
3.140260620778858591e+00	-3.953875737125342460e-02	-8.819681057549608738e-01	1.481413381310136668e+00	-1.326832581112859621e+00	-9.922848005344803823e+00
3.140051723827300023e+00	-4.411364071286724003e-02	-9.492754081911307651e-01	1.474658208110358304e+00	-1.376466956958843690e+00	-9.940164621106760023e+00
3.139819111420650621e+00	-4.903140965986575728e-02	-1.019188837732130537e+00	1.467654750858925716e+00	-1.426192528660979342e+00	-9.959364785505613327e+00
3.139561037083759665e+00	-5.430515376650386916e-02	-1.091734240007372847e+00	1.460402529437047736e+00	-1.476019020375068047e+00	-9.980573738886732826e+00
3.139275688903156336e+00	-5.994809521584056750e-02	-1.166939665569273643e+00	1.452901014085549392e+00	-1.525956791719859318e+00	-1.000391996327334709e+01
3.138961188284107084e+00	-6.597360691342581129e-02	-1.244836928052528435e+00	1.445149621312170618e+00	-1.576016849237631412e+00	-1.002953416113757612e+01
3.138615589472466993e+00	-7.239522207121901198e-02	-1.325458515388220349e+00	1.437147711035749120e+00	-1.626210863382619110e+00	-1.005755122042717176e+01
3.138236878707815425e+00	-7.922664709236118541e-02	-1.408841720223684035e+00	1.428894583276170582e+00	-1.676551183986125793e+00	-1.008810790549534886e+01
3.137822972834758861e+00	-8.648177994604688834e-02	-1.495024939630155814e+00	1.420389474071693803e+00	-1.727050852588278174e+00	-1.012134472346383518e+01
3.137371719325308561e+00	-9.417471548808614701e-02	-1.584049285769197013e+00	1.411631553207357781e+00	-1.777723621196446002e+00	-1.015740513347816432e+01
3.136880895070351283e+00	-1.023197620732588936e-01	-1.675959189660282789e+00	1.402619920377565998e+00	-1.828583965569061665e+00	-1.019643533166163252e+01
3.136348204319297395e+00	-1.109314633948633166e-01	-1.770804137330756589e+00	1.393353600588197017e+00	-1.879647098188836241e+00	-1.023858397338062787e+01
3.135771277719059835e+00	-1.200246132698136181e-01	-1.868634854921076283e+00	1.383831540571022423e+00	-1.930928982041122399e+00	-1.028400270884731071e+01
3.135147671480133624e+00	-1.296142698550335204e-01	-1.969506452134908159e+00	1.374052605281227191e+00	-1.982446344149182638e+00	-1.033284562030200959e+01
3.134474865712596703e+00	-1.397157743706374800e-01	-2.073476131643161580e+00	1.364015573717999308e+00	-2.034216689312661863e+00	-1.038527067593236097e+01
3.133750263624029753e+00	-1.503447545407861630e-01	-2.180603427873080591e+00	1.353719136688886548e+00	-2.086258325431052718e+00	-1.044143959452139825e+01
3.132971189360534758e+00	-1.615171554041189839e-01	-2.290954226870837829e+00	1.343161891109308614e+00	-2.138590366695637179e+00	-1.050151461141513209e+01
3.132134886417915709e+00	-1.732492568763447927e-01	-2.404597106070767154e+00	1.332342335956621993e+00	-2.191232747954026117e+00	-1.056566154176084638e+01
3.131238516070456779e+00	-1.855576876350553128e-01	-2.521602413701756973e+00	1.321258868473348169e+00	-2.244206241764919785e+00	-1.063405022582742276e+01
3.130279155726670481e+00	-1.984594367662590730e-01	-2.642045367791126864e+00	1.309909780392995993e+00	-2.297532476818787028e+00	-1.070685257704394644e+01
3.129253796883585625e+00	-2.119718817305583924e-01	-2.766005219182886776e+00	1.298293252965476929e+00	-2.351233946068313596e+00	-1.078424316135601657e+01
3.128159343250232816e+00	-2.261128040703622166e-01	-2.893564511086921698e+00	1.286407352797870551e+00	-2.405334022922532622e+00	-1.086639958584260057e+01
3.126992608562953802e+00	-2.409004019045901668e-01	-3.024807490080178241e+00	1.274250027482011882e+00	-2.459856975217026953e+00	-1.095350217816394434e+01
3.125750314463313639e+00	-2.563533085938444755e-01	-3.159824245645069141e+00	1.261819101081484318e+00	-2.514827979356506038e+00	-1.104573420927249572e+01
3.124429088392406850e+00	-2.724906154946687420e-01	-3.298707847869735588e+00	1.249112269509339068e+00	-2.570273134642019564e+00	-1.114328172450564125e+01
3.123025461223519539e+00	-2.893318871139817783e-01	-3.441553840288463562e+00	1.236127095904450579e+00	-2.626219476573016021e+00	-1.124633291055693007e+01
3.121535864861010534e+00	-3.068971663532324978e-01	-3.588459642246561998e+00	1.222861005980064197e+00	-2.682694983530245381e+00	-1.135507773349468152e+01
3.119956629756722943e+00	-3.252070004276085835e-01	-3.739528499979542175e+00	1.209311283193293951e+00	-2.739728594701611897e+00	-1.146971008624291244e+01
3.118283982337242577e+00	-3.442824575236195228e-01	-3.894865949452878340e+00	1.195475063892783352e+00	-2.797350222796663122e+00	-1.159042582025381307e+01
3.116514042434388010e+00	-3.641451350568230549e-01	-4.054576779536546383e+00	1.181349332499235238e+00	-2.855590759934560463e+00	-1.171741972945187626e+01
3.114642820811424073e+00	-3.848171568290725819e-01	-4.218769824874300411e+00	1.166930916792785045e+00	-2.914482073112411253e+00	-1.185088977307327696e+01
3.112666216085653303e+00	-4.063212055701327929e-01	-4.387557639101061113e+00	1.152216482607197889e+00	-2.974057030882029995e+00	-1.199103677320135830e+01
3.110580011954767077e+00	-4.286805284288215390e-01	-4.561053798394738124e+00	1.137202528850633554e+00	-3.034349506046384537e+00	-1.213806194992753262e+01
