theta1	omega1	alpha1	theta2	omega2	alpha2
1.000000000000000000e+00	0.000000000000000000e+00	-8.802452910894221105e+00	5.000000000000000000e-01	2.999999999999999889e-01	1.510544354383582366e+00
9.998901675465318162e-01	-4.397234589974514940e-02	-8.802199226204265869e+00	5.015174905098194191e-01	3.075402243757301424e-01	1.508102529532806102e+00
9.995606775651803000e-01	-8.794158239361175855e-02	-8.801188063235770187e+00	5.030726187715580666e-01	3.150690835608406792e-01	1.506322545230574406e+00
9.990115548909688226e-01	-1.319038903182153388e-01	-8.799422642545181361e+00	5.046653388315510691e-01	3.225913809741676186e-01	1.505469281492366918e+00
9.982428435135526357e-01	-1.758554531474166849e-01	-8.796883640493334156e+00	5.062956296644368637e-01	3.301117062513404532e-01	1.505527814827331667e+00
9.972546064274520061e-01	-2.197923595868661040e-01	-8.793552100092412616e+00	5.079634920338857995e-01	3.376345187393546832e-01	1.506459599498185753e+00
9.960469270736457270e-01	-2.637106070684023806e-01	-8.789409317188372484e+00	5.096689495810905468e-01	3.451640931200052886e-01	1.508227101814611615e+00
9.946199090032366019e-01	-3.076060853942967910e-01	-8.784431911966436246e+00	5.114120464048862447e-01	3.527044904774840339e-01	1.510784095057516652e+00
9.929736769203427738e-01	-3.514745619767426499e-01	-8.778594373508781246e+00	5.131928467247958148e-01	3.602595313397651267e-01	1.514080945995857519e+00
9.911083761705387074e-01	-3.953116706684216553e-01	-8.771867364408308276e+00	5.150114323619496837e-01	3.678327769198359021e-01	1.518060883765912195e+00
9.890241746969331560e-01	-4.391128887221734112e-01	-8.764218829292218516e+00	5.168679024991001958e-01	3.754274872238750338e-01	1.522662467604760650e+00
9.867212634818036676e-01	-4.828735226721466156e-01	-8.755612975648517704e+00	5.187623717551775870e-01	3.830465969765475265e-01	1.527817760046701778e+00
9.841998574415262713e-01	-5.265886916449150634e-01	-8.746009018165921134e+00	5.206949684926911459e-01	3.906926869333676167e-01	1.533450306627798909e+00
9.814601963020745945e-01	-5.702533110103239489e-01	-8.735367269068660789e+00	5.226658331608061703e-01	3.983679557584700048e-01	1.539485471916322012e+00
9.785025452457511985e-01	-6.138620818543860658e-01	-8.723640219122046346e+00	5.246751170927445029e-01	4.060742023693166280e-01	1.545835594727833495e+00
9.753271972735665374e-01	-6.574094533933209084e-01	-8.710775783725011934e+00	5.267229781202550365e-01	4.138127631193106448e-01	1.552405012254865824e+00
9.719344737995060379e-01	-7.008896090239291610e-01	-8.696720661726033086e+00	5.288095794162728236e-01	4.215844869229751768e-01	1.559096437265253599e+00
9.683247256162758054e-01	-7.442964673503981166e-01	-8.681419213307208338e+00	5.309350879298749826e-01	4.293897416676426548e-01	1.565809063378168275e+00
9.644983345622725190e-01	-7.876236466942609926e-01	-8.664808961143080523e+00	5.330996711748716699e-01	4.372283521906949466e-01	1.572430346514977373e+00
9.604557153771811073e-01	-8.308644473284646503e-01	-8.646824535955431656e+00	5.353034939957386218e-01	4.450995740830281377e-01	1.578843745094985707e+00
9.561973169022593977e-01	-8.740118336163815727e-01	-8.627396750867035280e+00	5.375467163574534357e-01	4.530020640660167852e-01	1.584926116074996116e+00
9.517236241065265556e-01	-9.170584132226199392e-01	-8.606452002383264244e+00	5.398294897920427049e-01	4.609338478849580034e-01	1.590547966764262355e+00
9.470351598702362317e-01	-9.599964171783966771e-01	-8.583913139631704325e+00	5.421519542414607873e-01	4.688922891391736347e-01	1.595573712111558962e+00
9.421324866966269695e-01	-1.002817680565995850e+00	-8.559698715154468118e+00	5.445142350305760548e-01	4.768740587798731001e-01	1.599861667923448749e+00
