theta1	omega1	alpha1	theta2	omega2	alpha2
1.000000000000000000e+00	0.000000000000000000e+00	-8.802452908096629614e+00	5.000000000000000000e-01	2.999999999999999889e-01	1.510544219537234945e+00
9.998900687200755755e-01	-4.399212412317880100e-02	-8.802198943734051539e+00	5.015181815458894521e-01	3.075436130513288235e-01	1.508101510724060290e+00
9.995602822732888582e-01	-8.798113433682361317e-02	-8.801186815116608386e+00	5.030740346858750822e-01	3.150758528582501827e-01	1.506321367245647025e+00
9.990106655410045944e-01	-1.319632063381551146e-01	-8.799419743031265284e+00	5.046675134214142489e-01	3.226015291725738421e-01	1.505468772218392814e+00
9.982412625932964856e-01	-1.759345183446284211e-01	-8.796878359408736969e+00	5.062985967234271412e-01	3.301252377038045305e-01	1.505528724616965519e+00
9.972521365423101525e-01	-2.198911536385141363e-01	-8.793543696932928810e+00	5.079672853933712151e-01	3.376514435288892058e-01	1.506462658769180507e+00
9.960433709813741876e-01	-2.638291040562224521e-01	-8.789397013017207883e+00	5.096736031470153749e-01	3.451844267155215751e-01	1.508232966019562582e+00
9.946150696544735492e-01	-3.077442535590556028e-01	-8.784414889177810437e+00	5.114175941956594640e-01	3.527282532523044467e-01	1.510793343590137283e+00
9.929673574920342416e-01	-3.516323634712886781e-01	-8.778571779398987474e+00	5.131993228954364605e-01	3.602867480980604387e-01	1.514094090410054605e+00
9.911003801116083922e-01	-3.954890612518570658e-01	-8.771838277217369750e+00	5.150188712401712055e-01	3.678634763074580261e-01	1.518078306643815267e+00
9.890143057692067918e-01	-4.393098174338062600e-01	-8.764182284420655833e+00	5.168763386094717971e-01	3.754617011108917768e-01	1.522684469921671280e+00
9.867093258050725346e-01	-4.830899314522070775e-01	-8.755567942605182452e+00	5.187718398400644748e-01	3.830843597464488326e-01	1.527844520618941715e+00
9.841856555437920040e-01	-5.268245148697136004e-01	-8.745954396513582196e+00	5.207055035235368390e-01	3.907340346282422439e-01	1.533481875562586083e+00
9.814435351613244318e-01	-5.705084751721894998e-01	-8.735301897069746246e+00	5.226774703652792287e-01	3.984129254696548439e-01	1.539521784914171576e+00
9.784832303503405715e-01	-6.141365049481051219e-01	-8.723562818108518968e+00	5.246878919473697556e-01	4.061228311382355516e-01	1.545876382689584716e+00
9.753050346781437785e-01	-6.577030443354076050e-01	-8.710684991549840106e+00	5.267369263508349109e-01	4.138650868808432248e-01	1.552449850128567732e+00
9.719092701816174351e-01	-7.012022671405386820e-01	-8.696615060871920377e+00	5.288247369981446955e-01	4.216405395864993300e-01	1.559144806672520644e+00
9.682962883373751328e-01	-7.446280818119050959e-01	-8.681297240697858797e+00	5.309514910802177745e-01	4.294495541139033423e-01	1.565860184060198890e+00
9.644664717367245066e-01	-7.879740957344179009e-01	-8.664668953077807600e+00	5.331173563291098372e-01	4.372919508831373814e-01	1.572483267388435024e+00
9.604202359451440296e-01	-8.312335975597493487e-01	-8.646664710812899557e+00	5.353224977792173656e-01	4.451669798868293504e-01	1.578897306152583724e+00
9.561580306995068890e-01	-8.743995392704269065e-01	-8.627215198334283741e+00	5.375670755606180018e-01	4.530732909025184107e-01	1.584978938538597504e+00
