angle	angular_velocity	angular_acceleration
5.000000000000000000e-01	5.000000000000000000e-01	-4.705303131229947589e+00
5.024400486968916280e-01	4.764418802280518950e-01	-4.724150899084264665e+00
5.047621035974662052e-01	4.527814297006551025e-01	-4.744101459954066513e+00
5.069656646189542037e-01	4.290238705604363934e-01	-4.763010999780050270e+00
5.090502594608153908e-01	4.051744103349770865e-01	-4.780878373618520527e+00
5.110154418389060149e-01	3.812382583860152163e-01	-4.797703228834137690e+00
5.128607915092147085e-01	3.572206257815765396e-01	-4.813485254404753277e+00
5.145859142740634162e-01	3.331267249312140355e-01	-4.828224220767566521e+00
5.161904419890862572e-01	3.089617692852685282e-01	-4.841919914223410615e+00
5.176740325570136081e-01	2.847309733277818000e-01	-4.854572196275739770e+00
5.190363699560958111e-01	2.604395518132236464e-01	-4.866181047896418477e+00
5.202771642450018108e-01	2.360927195167600023e-01	-4.876746493537112315e+00
5.213961515507443689e-01	2.116956914772792353e-01	-4.886268250641691679e+00
5.223930940098910902e-01	1.872536845547618789e-01	-4.894746221525466012e+00
5.232677798603689867e-01	1.627719147759515428e-01	-4.902180559938472015e+00
5.240200234219848374e-01	1.382555977923493884e-01	-4.908571338681980478e+00
5.246496650827252584e-01	1.137099493261221617e-01	-4.913918342189219857e+00
5.251565712690943188e-01	8.914018627900430203e-02	-4.918221571496630418e+00
5.255406344960025233e-01	6.455152475424638658e-02	-4.921481144001312202e+00
5.258017733530121474e-01	3.994918054822092085e-02	-4.923697119317139936e+00
5.259399324968709877e-01	1.533836952075347954e-02	-4.924869345354989214e+00
5.259550826403559531e-01	-9.275691805669859791e-03	-4.924997855585033335e+00
5.258472205728871307e-01	-3.388778740908925807e-02	-4.924082706405567222e+00
5.256163691535504778e-01	-5.849270140070036983e-02	-4.922123909762131433e+00
5.252625773095045414e-01	-8.308521779556533871e-02	-4.919121420074390016e+00
5.247859200350881714e-01	-1.076601203282080144e-01	-4.915075211534038147e+00
5.241864983938290257e-01	-1.322121928666894763e-01	-4.909985312097333576e+00
5.234644395180381160e-01	-1.567362192910927432e-01	-4.903851720558137117e+00
5.226198966052073569e-01	-1.812269838577208192e-01	-4.896674601311005404e+00
5.216530489187634068e-01	-2.056792711059033940e-01	-4.888453854324467329e+00
5.205641017935492831e-01	-2.300878651805018660e-01	-4.879189467420218307e+00
5.193532866325755171e-01	-2.544475502334218042e-01	-4.868881442343251820e+00
5.180208609070067194e-01	-2.787531104252899961e-01	-4.857529780838603983e+00
5.165671081561618028e-01	-3.029993299254543637e-01	-4.845134484651310913e+00
5.149923379875138707e-01	-3.271809929119839921e-01	-4.831695555526380303e+00
5.132968860766897734e-01	-3.512928835716689346e-01	-4.817212995208763004e+00
5.114811141591851795e-01	-3.753297867911219443e-01	-4.801687492239636867e+00
5.095454099600033038e-01	-3.992864940255540507e-01	-4.785119924130839308e+00
5.074901872902806144e-01	-4.231577952392587827e-01	-4.767509737665960756e+00
5.053158860334786562e-01	-4.469384800573611427e-01	-4.748857081739686237e+00
5.030229721323959957e-01	-4.706233388491239400e-01	-4.729162105246388137e+00
5.006119375891686651e-01	-4.942071627279474022e-01	-4.708425051587425969e+00
4.980833003085404220e-01	-5.176847494085553558e-01	-4.686648398003171678e+00
4.954376041126855590e-01	-5.410509026530780918e-01	-4.663831606938231289e+00
4.926754189414418450e-01	-5.643004247880367696e-01	-4.639975043385959452e+00
4.897973407523766864e-01	-5.874281204390269240e-01	-4.615079167391854753e+00
4.868039914045167449e-01	-6.104287998733031184e-01	-4.589146466187571605e+00
4.836960184187160672e-01	-6.332972858887563339e-01	-4.562177759274732125e+00
4.804740954423388222e-01	-6.560284004551402148e-01	-4.534173308206163711e+00
4.771389220917306995e-01	-6.786169692427211908e-01	-4.505133938020435380e+00
4.736912238629496508e-01	-7.010578238390647865e-01	-4.475062221957330166e+00
4.701317515024390215e-01	-7.233458168906927721e-01	-4.443961451672919338e+00
4.664612817801457867e-01	-7.454758035017916562e-01	-4.411831454417551868e+00
4.626806174028070817e-01	-7.674426433205429054e-01	-4.378673618142386204e+00
4.587905869034700768e-01	-7.892412031555871010e-01	-4.344489952854928561e+00
4.547920438948093724e-01	-8.108663721200253249e-01	-4.309286457846610574e+00
4.506858674342129056e-01	-8.323130542268500909e-01	-4.273063487932574844e+00
4.464729624321223667e-01	-8.535761601071087945e-01	-4.235823338238844826e+00
4.421542591563071833e-01	-8.746506159606990405e-01	-4.197570751838384240e+00
4.377307126871952114e-01	-8.955313722396056608e-01	-4.158308766718675997e+00
4.332033038283105708e-01	-9.162133891335088043e-01	-4.118039752568279255e+00
4.285730387612709524e-01	-9.366916420400340781e-01	-4.076767925278659277e+00
4.238409479352370224e-01	-9.569611387423143656e-01	-4.034500004928531780e+00
4.190080869756452331e-01	-9.770169053629751410e-01	-3.991238110922665783e+00
4.140755368472446851e-01	-9.968539838441204948e-01	-3.946986120130759446e+00
4.090444029001836790e-01	-1.016467445274052084e+00	-3.901752745094768215e+00
4.039158143397314493e-01	-1.035852397065612607e+00	-3.855541629964136519e+00
3.986909257132953410e-01	-1.055003962826523534e+00	-3.808357193413826280e+00
3.933709163470303083e-01	-1.073917290008781888e+00	-3.760207869890905386e+00
3.879569874013759634e-01	-1.092587585850076648e+00	-3.711099164341135292e+00
3.824503661130914112e-01	-1.111010065608487585e+00	-3.661037787092823237e+00
3.768523034111915249e-01	-1.129179981651418974e+00	-3.610029582229685730e+00
3.711640732334192672e-01	-1.147092630009459047e+00	-3.558086074956463563e+00
