angle	angular_velocity	angular_acceleration
5.261253707720928707e-01	6.307559198121850397e-01	-3.835679427784577378e+00
4.901252902494741548e-01	4.647962224440370660e-01	-4.636458577125626590e+00
4.803880063955295876e-01	8.132014016209581087e-01	-3.857791672968690300e+00
4.773913710481160755e-01	6.529641147090523567e-01	-5.111124428585642754e+00
5.861380921259561338e-01	3.367408194469684313e-01	-5.535351886758391515e+00
5.168495695069079687e-01	3.580897321295199998e-01	-5.487442924848457970e+00
4.812131965187868565e-01	3.004245186340646079e-01	-3.523742129419913383e+00
4.503739468539870172e-01	4.875367857951335981e-01	-5.143470930004058417e+00
5.550311174323390162e-01	-2.832878178067033126e-02	-4.910716377202732019e+00
4.798128266130183839e-01	4.273784300678979964e-01	-5.288189256094775637e+00
5.360820164519771724e-01	3.337866288473685938e-01	-4.869248225350655268e+00
5.692591355802121278e-01	-4.906555609871068868e-02	-4.923060073372118595e+00
4.961933169782812847e-01	3.328242012897596469e-01	-4.629790517399114513e+00
5.937264220166839079e-01	3.236902287726587391e-01	-4.752539072260417718e+00
5.422758836803920346e-01	2.075367089965543255e-01	-5.014928770578904960e+00
5.672491271935232726e-01	3.852969423234235691e-02	-4.615116032919130973e+00
5.130957170360087582e-01	1.226076778324185906e-01	-4.823701615865330972e+00
4.987659626631447685e-01	2.618464507616471426e-01	-4.491383914073848516e+00
5.306465630365696518e-01	-2.464133846824395346e-01	-4.558521555254494650e+00
4.488261719559905605e-01	-4.454053982681011742e-02	-4.581675711716814980e+00
4.514965424869973321e-01	-2.471318438203684298e-01	-4.435405732529851264e+00
5.472066986474055650e-01	-4.398007874274729306e-02	-4.456781787831399555e+00
4.249267834912945352e-01	-1.686792303653606995e-01	-5.510715644268113778e+00
5.414766704476564607e-01	1.722703945530875413e-01	-4.430710068799994517e+00
5.668680012415316938e-01	7.911312338536090338e-02	-4.789799900840633562e+00
6.399959760344553494e-01	-1.374117597992687845e-01	-4.604099850767387814e+00
4.426272014949298450e-01	-1.038266175689884913e-01	-4.960467159033735030e+00
6.049853922793552163e-01	7.736025607193536269e-02	-4.815049340136082101e+00
5.345834677885605846e-01	-2.536879011066918710e-01	-5.831562520383481996e+00
5.627741087465528702e-01	-2.434852557227237813e-02	-4.992387425451296323e+00
5.337391211711356442e-01	-1.737197648148133822e-01	-4.427098100425197025e+00
4.817809816270302026e-01	-3.703994019839109697e-01	-4.428077007115039265e+00
4.667561247099777932e-01	-2.361355380931924319e-01	-4.815460155827058664e+00
5.382778943266141036e-01	-3.417960864925501108e-01	-5.228744157454976005e+00
4.682070911001195435e-01	-5.658035064052142626e-01	-4.740252603388920072e+00
5.568037379481761695e-01	-2.263546295761004745e-01	-4.342345591584296116e+00
5.443889573145686001e-01	-4.386061227016993525e-01	-4.677999821657284230e+00
5.470992576338213897e-01	-4.439133557564196031e-01	-4.371719493591317729e+00
4.840051132143454726e-01	-4.861976854121407010e-01	-3.802857905547558204e+00
5.255821887939710058e-01	-2.909277767435538564e-01	-5.912788916305921738e+00
5.218412952866707810e-01	-4.120374992949507043e-01	-4.873363438568633299e+00
4.512857270541906218e-01	-6.282124255732719487e-01	-4.579529564591570789e+00
5.281100796376793083e-01	-2.795198288748168003e-01	-4.840976925375612083e+00
5.353566444093781351e-01	-5.077891237784323275e-01	-5.022386250228783489e+00
6.144181011230364087e-01	-5.798033957935587734e-01	-5.300803598964249019e+00
5.470722098612924578e-01	-5.812978314252351675e-01	-5.419155512673632380e+00
4.483893439911113554e-01	-8.780260024105662753e-01	-5.381883616990523755e+00
5.170378698581014065e-01	-9.277400302837541801e-01	-5.138017826970954438e+00
4.387903664593659769e-01	-6.569096061400244713e-01	-5.089092943663849233e+00
4.595453649984009292e-01	-7.793574084179031303e-01	-4.243016770206570420e+00
4.073732810222093770e-01	-6.763976801034992103e-01	-4.947164716719468558e+00
4.446627878793603106e-01	-6.682815497334376742e-01	-3.879383695769929474e+00
4.177080861984997506e-01	-7.922822107473039832e-01	-5.429177629772270919e+00
3.970517278807557116e-01	-9.871478000628959304e-01	-4.517386146187019946e+00
5.345963573501086863e-01	-9.141333127289739124e-01	-4.633272060260906322e+00
4.790970179468114765e-01	-8.230517832979290516e-01	-4.540864686856598276e+00
4.566564698738125316e-01	-9.877284723606531980e-01	-4.257553220972281061e+00
3.438001933293444168e-01	-9.563073867136675510e-01	-4.027619533547070141e+00
4.312077803343453697e-01	-8.187346684764582605e-01	-4.211701963105868529e+00
4.012861701309133333e-01	-6.980839805391040320e-01	-4.567854812381526131e+00
3.896011598240415319e-01	-1.174141957353046273e+00	-4.397477930802655699e+00
4.347440354443311561e-01	-1.136782945935317812e+00	-4.293155886170095137e+00
4.123917027104934130e-01	-1.130784045007487304e+00	-4.470337802243538050e+00
4.201128131989017578e-01	-8.882782245566800405e-01	-4.372020260652227819e+00
4.191771743453298060e-01	-1.201430411525543418e+00	-4.407650892375567508e+00
3.451824664040532009e-01	-1.105222147487409767e+00	-3.547215351528066662e+00
4.032716783121034765e-01	-1.468901514794016538e+00	-3.765239408420308020e+00
3.909562384827714454e-01	-9.968578569130108757e-01	-4.472745076443123580e+00
3.501250926467660007e-01	-1.198637241422003230e+00	-4.061008014715616454e+00
4.001619761546802434e-01	-1.378340213071117093e+00	-3.668178132129492397e+00
