angle	angular_velocity	angular_acceleration
5.000000000000000000e-01	5.000000000000000000e-01	-4.854574206574675088e+00
5.024371374042857497e-01	4.757213810247764019e-01	-4.866841963327715348e+00
5.047528257314146671e-01	4.513771111589652274e-01	-4.879434620157041991e+00
5.069467495452786299e-01	4.269726490578497069e-01	-4.890940291290235109e+00
5.090186217090368892e-01	4.025134212780494547e-01	-4.901361152852217629e+00
5.109681820577762767e-01	3.780048395481259149e-01	-4.910700151775614586e+00
5.127951975272857510e-01	3.534523011132161829e-01	-4.918960185214956482e+00
5.144994621243420552e-01	3.288611886514067328e-01	-4.926144175139768322e+00
5.160807966791353119e-01	3.042368695841735082e-01	-4.932255465641304681e+00
5.175390482197865794e-01	2.795846943459303624e-01	-4.937297127294385746e+00
5.188740910205514867e-01	2.549099992839765072e-01	-4.941272045524357281e+00
5.200858262845982072e-01	2.302181057808746212e-01	-4.944183238483546461e+00
5.211741815259879340e-01	2.055143191620204257e-01	-4.946034259505367459e+00
5.221391098445241630e-01	1.808039274647716133e-01	-4.946828140169245103e+00
5.229805915756396972e-01	1.560922042389661923e-01	-4.946567911328500600e+00
5.236986336780606877e-01	1.313844075075426276e-01	-4.945256693447909413e+00
5.242932688786249296e-01	1.066857793001197152e-01	-4.942897794840099834e+00
5.247645553892769099e-01	8.200154550879051873e-02	-4.939494299416622880e+00
5.251125783458672203e-01	5.733691662126490229e-02	-4.935049342180327869e+00
5.253374491787743406e-01	3.269708740208962516e-02	-4.929566064940070547e+00
5.254393045223966219e-01	8.087237136481462141e-03	-4.923047528204174128e+00
5.254183065289089738e-01	-1.648747044054760941e-02	-4.915496903959943431e+00
5.252746438608456581e-01	-4.102188736840524375e-02	-4.906917328054273497e+00
5.250085311316511349e-01	-6.551088132365523453e-02	-4.897311890203027929e+00
5.246202071821008950e-01	-8.994933474685536112e-02	-4.886683495737464966e+00
5.241099366117101255e-01	-1.143321456183666179e-01	-4.875035398199820236e+00
5.234780104084655328e-01	-1.386542277773736842e-01	-4.862370708316944956e+00
5.227247453180660086e-01	-1.629105106023437666e-01	-4.848692536742404968e+00
5.218504838439228521e-01	-1.870959390110262521e-01	-4.834003993931901277e+00
5.208555926221893895e-01	-2.112054730332295904e-01	-4.818307968566486466e+00
5.197404611823511766e-01	-2.352340874849648267e-01	-4.801607619230395585e+00
5.185055063802546105e-01	-2.591767731339421066e-01	-4.783906068956284230e+00
5.171511704606440718e-01	-2.830285361901880847e-01	-4.765206405866507566e+00
5.156779209978673562e-01	-3.067843982904568945e-01	-4.745511718083378128e+00
5.140862504202985406e-01	-3.304393968238190094e-01	-4.724825384791927263e+00
5.123766728705311246e-01	-3.539885870812258251e-01	-4.703150776286378232e+00
5.105497288000675482e-01	-3.774270391099073807e-01	-4.680490793582038123e+00
5.086059840778320851e-01	-4.007498383236992590e-01	-4.656848581359781747e+00
5.065460294896558802e-01	-4.239520858457038188e-01	-4.632227284300569181e+00
5.043704807111253352e-01	-4.470288985702293161e-01	-4.606630292589244391e+00
5.020799753214959527e-01	-4.699754159746998283e-01	-4.580062824725359860e+00
4.996751749113207963e-01	-4.927867953116966127e-01	-4.552527000057352780e+00
