angle	angular_velocity	angular_acceleration
5.261253678157162827e-01	6.501321836038614910e-01	-3.615246783087375348e+00
4.901242210850057512e-01	4.832173516414489667e-01	-4.046856063358180933e+00
4.803859743394994219e-01	7.043715425902590255e-01	-4.951054779760020175e+00
4.773884822830258279e-01	6.696944640046738062e-01	-4.832996684686802880e+00
5.861344415596003721e-01	5.393072410567649744e-01	-4.952621523332406461e+00
5.168452853994522922e-01	3.006491501845323655e-01	-4.330668267900334989e+00
4.812083836895130196e-01	3.774015597222679097e-01	-5.833546783543133607e+00
4.503687138545137136e-01	3.527763297721220881e-01	-4.396756022715304191e+00
5.550255584444707679e-01	2.050533989021119385e-02	-4.620041380104561668e+00
4.798070718798060907e-01	3.554289723204921980e-01	-5.716956770695374779e+00
5.360761613087653421e-01	2.833180191426133976e-01	-4.499789718027905394e+00
5.692532931343380342e-01	2.276681817310325651e-01	-4.464057665172003198e+00
4.961876099796060369e-01	1.400289864617191016e-01	-4.750832890224252480e+00
5.937209420734288479e-01	1.368503872415104961e-01	-5.196311071220815592e+00
5.422707587040828114e-01	4.639705676106435916e-01	-4.875226715112725095e+00
5.672444596805449324e-01	1.670285199017543798e-01	-4.386198325213952032e+00
5.130916271306805720e-01	4.242234456389630537e-02	-5.854366944916761462e+00
4.987625570478687598e-01	3.497363315686886076e-01	-5.173723644118295439e+00
5.306439476226746388e-01	2.936524264911390403e-01	-5.715274768498789015e+00
4.488244706554231356e-01	-4.879665443096613264e-02	-5.028642681057382546e+00
4.514958566423172281e-01	-9.785510386873667865e-02	-5.332527161410832939e+00
5.472071284449728790e-01	1.105481663083488983e-02	-4.227080834450520186e+00
4.249284640783024813e-01	3.739831548273800377e-01	-4.433543658512200558e+00
5.414796849945703316e-01	-7.895203237040435140e-02	-5.012130470895422185e+00
5.668724699313929527e-01	-3.000205679285857657e-02	-4.833309963764378381e+00
6.400020029566113600e-01	-1.848221438027433106e-01	-4.207124317752679588e+00
4.426349263273716694e-01	-1.610225271330225638e-01	-5.129201890717939527e+00
6.049948829133978689e-01	2.561056223472449322e-02	-4.355515114795200482e+00
5.345948586454455365e-01	-1.753488643173125305e-01	-4.726291568657073228e+00
5.627874961876769833e-01	-3.344682061518577942e-02	-5.239252935256974553e+00
5.337546185800735588e-01	-4.729165700022013863e-01	-4.750428642241020682e+00
4.817986978484242178e-01	-1.725086921393628459e-01	-4.986369330308010994e+00
4.667761611109774167e-01	9.816612236074162556e-03	-5.579391246965245799e+00
5.383003459091491028e-01	-3.353019513961196241e-01	-4.467462341202162790e+00
